country,year,values,cofog99
Portugal,2012,6.5,Health
Romania,2012,3.8,Health
Sweden,2012,6.9,Health
Slovenia,2012,7.1,Health
Slovakia,2012,6.8,Health
United Kingdom,2012,7.4,Health
Austria,2012,0.2,Public health services
Belgium,2012,0.2,Public health services
Bulgaria,2012,0.1,Public health services
Switzerland,2012,0.1,Public health services
Cyprus,2012,0,Public health services
Czechia,2012,1.4,Public health services
Germany (until 1990 former territory of the FRG),2012,0.1,Public health services
Denmark,2012,0.1,Public health services
Euro area (11 countries),2012,0.1,Public health services
Euro area (12 countries),2012,0.1,Public health services
Euro area (13 countries),2012,0.1,Public health services
Euro area (15 countries),2012,0.1,Public health services
Euro area (16 countries),2012,0.1,Public health services
Euro area (17 countries),2012,0.1,Public health services
Euro area (18 countries),2012,0.1,Public health services
Euro area (19 countries),2012,0.1,Public health services
Estonia,2012,0,Public health services
Greece,2012,0,Public health services
Spain,2012,0.1,Public health services
European Union - 15 countries (1995-2004),2012,0.1,Public health services
European Union - 25 countries (2004-2006),2012,0.1,Public health services
European Union - 27 countries (2007-2013),2012,0.1,Public health services
European Union - 28 countries,2012,0.1,Public health services
Finland,2012,0,Public health services
France,2012,0.1,Public health services
Croatia,2012,0.1,Public health services
Hungary,2012,0.1,Public health services
Ireland,2012,0.3,Public health services
Iceland,2012,0,Public health services
Italy,2012,0.3,Public health services
Lithuania,2012,0.1,Public health services
Luxembourg,2012,0.1,Public health services
Latvia,2012,0,Public health services
Malta,2012,0.1,Public health services
Netherlands,2012,0.2,Public health services
Norway,2012,0.2,Public health services
Poland,2012,0.1,Public health services
Portugal,2012,0,Public health services
Romania,2012,0.1,Public health services
Sweden,2012,0.2,Public health services
Slovenia,2012,0.4,Public health services
Slovakia,2012,0,Public health services
United Kingdom,2012,0,Public health services
Austria,2012,0.4,R&D Health
Belgium,2012,0,R&D Health
Bulgaria,2012,NA,R&D Health
Switzerland,2012,0.1,R&D Health
Cyprus,2012,0,R&D Health
Czechia,2012,0,R&D Health
Germany (until 1990 former territory of the FRG),2012,0.1,R&D Health
Denmark,2012,0.2,R&D Health
Euro area (11 countries),2012,0.1,R&D Health
Euro area (12 countries),2012,0.1,R&D Health
Euro area (13 countries),2012,0.1,R&D Health
Euro area (15 countries),2012,0.1,R&D Health
Euro area (16 countries),2012,0.1,R&D Health
Euro area (17 countries),2012,0.1,R&D Health
Euro area (18 countries),2012,0.1,R&D Health
Euro area (19 countries),2012,0.1,R&D Health
Estonia,2012,0.1,R&D Health
Greece,2012,0,R&D Health
Spain,2012,0.3,R&D Health
European Union - 15 countries (1995-2004),2012,0.1,R&D Health
European Union - 25 countries (2004-2006),2012,0.1,R&D Health
European Union - 27 countries (2007-2013),2012,0.1,R&D Health
European Union - 28 countries,2012,0.1,R&D Health
Finland,2012,0.1,R&D Health
France,2012,0.1,R&D Health
Croatia,2012,0.3,R&D Health
Hungary,2012,0,R&D Health
Ireland,2012,0,R&D Health
