country,year,total general government revenue (% GDP)
Bulgaria,2008,38.7
Switzerland,2008,33.2
Cyprus,2008,39.3
Czechia,2008,38.7
Germany (until 1990 former territory of the FRG),2008,43.4
Denmark,2008,53.6
Euro area (11 countries),2008,44.7
Euro area (12 countries),2008,44.6
Euro area (13 countries),2008,44.6
Euro area (15 countries),2008,44.6
Euro area (16 countries),2008,44.5
Euro area (17 countries),2008,44.5
Euro area (18 countries),2008,44.5
Euro area (19 countries),2008,44.4
Estonia,2008,37.1
Greece,2008,40.7
Spain,2008,36.7
European Union - 15 countries (1995-2004),2008,44.1
European Union - 25 countries (2004-2006),2008,43.8
European Union - 28 countries,2008,43.7
Finland,2008,52.4
France,2008,50
Croatia,2008,42.5
Hungary,2008,45
Ireland,2008,34.8
Iceland,2008,41.6
Italy,2008,45.2
Lithuania,2008,35
Luxembourg,2008,43
Latvia,2008,33.4
Malta,2008,38.5
Netherlands,2008,43.3
Norway,2008,58.9
Poland,2008,40.7
Portugal,2008,41.6
Romania,2008,32.3
Sweden,2008,51.9
Slovenia,2008,42.5
Slovakia,2008,34.5
United Kingdom,2008,39.2
Austria,2007,47.9
Belgium,2007,48.3
Bulgaria,2007,38.8
Switzerland,2007,32.3
Cyprus,2007,40.8
Czechia,2007,39.7
Germany (until 1990 former territory of the FRG),2007,43
Denmark,2007,54.6
Euro area (11 countries),2007,45
Euro area (12 countries),2007,44.9
Euro area (13 countries),2007,44.8
Euro area (15 countries),2007,44.8
Euro area (16 countries),2007,44.8
Euro area (17 countries),2007,44.8
Euro area (18 countries),2007,44.7
Euro area (19 countries),2007,44.7
Estonia,2007,36.8
Greece,2007,40.4
Spain,2007,41
European Union - 15 countries (1995-2004),2007,44
European Union - 25 countries (2004-2006),2007,43.8
European Union - 28 countries,2007,43.7
Finland,2007,51.9
France,2007,49.9
Croatia,2007,43
Hungary,2007,44.8
Ireland,2007,36.2
Iceland,2007,45.5
Italy,2007,45.3
Lithuania,2007,34.4
Luxembourg,2007,42
Latvia,2007,33.5
Malta,2007,39
Netherlands,2007,42.2
Norway,2007,58.5
Poland,2007,41.4
Portugal,2007,41.5
Romania,2007,34.7
Sweden,2007,52.6
Slovenia,2007,42.1
Slovakia,2007,34.4
United Kingdom,2007,38.3
Austria,2006,47.8
Belgium,2006,48.7
Bulgaria,2006,35.7
Switzerland,2006,32.8
Cyprus,2006,37.7
Czechia,2006,39.2
Germany (until 1990 former territory of the FRG),2006,43
Denmark,2006,54.8
Euro area (11 countries),2006,44.9
Euro area (12 countries),2006,44.7
Euro area (13 countries),2006,44.7
Euro area (15 countries),2006,44.7
Euro area (16 countries),2006,44.7
Euro area (17 countries),2006,44.7
Euro area (18 countries),2006,44.6
Euro area (19 countries),2006,44.6
Estonia,2006,36.5
Greece,2006,39.2
Spain,2006,40.5
European Union - 15 countries (1995-2004),2006,43.9
European Union - 25 countries (2004-2006),2006,43.7
European Union - 28 countries,2006,43.6
Finland,2006,52.3
France,2006,50.4
Croatia,2006,43.1
Hungary,2006,42.2
Ireland,2006,36.6
Iceland,2006,46.5
Italy,2006,44.1
Lithuania,2006,34
Luxembourg,2006,41.6
Latvia,2006,35.5
Malta,2006,39.8
Netherlands,2006,43.1
Norway,2006,58.8
Poland,2006,41.1
Portugal,2006,40.9
Romania,2006,33.5
Sweden,2006,53.2
Slovenia,2006,43
Slovakia,2006,35.2
United Kingdom,2006,38
Austria,2005,48.6
Belgium,2005,48.9
Bulgaria,2005,38.1
Switzerland,2005,33.1
Cyprus,2005,37.1
Czechia,2005,39.3
Germany (until 1990 former territory of the FRG),2005,42.8
Denmark,2005,56.2
Euro area (11 countries),2005,44.3
Euro area (12 countries),2005,44.2
Euro area (13 countries),2005,44.2
Euro area (15 countries),2005,44.2
Euro area (16 countries),2005,44.2
Euro area (17 countries),2005,44.2
Euro area (18 countries),2005,44.1
Euro area (19 countries),2005,44.1
Estonia,2005,35.1
Greece,2005,39.4
Spain,2005,39.5
European Union - 15 countries (1995-2004),2005,43.6
European Union - 25 countries (2004-2006),2005,43.4
European Union - 28 countries,2005,43.3
Finland,2005,51.9
France,2005,49.9
Croatia,2005,43
Hungary,2005,41.6
Ireland,2005,34.9
Iceland,2005,45.7
Italy,2005,43
Lithuania,2005,33.7
Luxembourg,2005,43.7
Latvia,2005,33.8
Malta,2005,39.6
Netherlands,2005,41.8
Norway,2005,56.9
Poland,2005,40.4
Portugal,2005,40.5
Romania,2005,32.7
Sweden,2005,54.1
Slovenia,2005,43.6
Slovakia,2005,36.9
United Kingdom,2005,38.1
Austria,2004,48.9
Belgium,2004,48.8
Bulgaria,2004,39.9
Switzerland,2004,33.1
Cyprus,2004,34.9
Czechia,2004,40.2
Germany (until 1990 former territory of the FRG),2004,42.6
Denmark,2004,55.1
Euro area (11 countries),2004,44.1
Euro area (12 countries),2004,44
Euro area (13 countries),2004,44
Euro area (15 countries),2004,44
Euro area (16 countries),2004,43.9
Euro area (17 countries),2004,43.9
Euro area (18 countries),2004,43.9
Euro area (19 countries),2004,43.9
Estonia,2004,36.7
Greece,2004,38.8
Spain,2004,38.7
European Union - 15 countries (1995-2004),2004,43.2
European Union - 25 countries (2004-2006),2004,43
European Union - 28 countries,2004,42.9
Finland,2004,51.5
France,2004,49.4
Croatia,2004,43.6
Hungary,2004,42.1
Ireland,2004,34.5
Iceland,2004,42.3
Italy,2004,43.3
Lithuania,2004,32.6
Luxembourg,2004,42.5
Latvia,2004,33.8
Malta,2004,37.9
Netherlands,2004,41.6
Norway,2004,55.9
Poland,2004,38.5
Portugal,2004,39.9
Romania,2004,32.7
Sweden,2004,52.7
Slovenia,2004,43.4
Slovakia,2004,35.5
United Kingdom,2004,37
Austria,2003,49.5
Belgium,2003,49
Bulgaria,2003,38.5
Switzerland,2003,33.4
Cyprus,2003,34.6
Czechia,2003,42.5
Germany (until 1990 former territory of the FRG),2003,43.6
Denmark,2003,53.5
Euro area (11 countries),2003,44.4
Euro area (12 countries),2003,44.3
Euro area (13 countries),2003,44.3
Euro area (15 countries),2003,44.3
Euro area (16 countries),2003,44.2
Euro area (17 countries),2003,44.2
Euro area (18 countries),2003,44.2
Euro area (19 countries),2003,44.2
Estonia,2003,37
Greece,2003,38.8
Spain,2003,37.9
European Union - 15 countries (1995-2004),2003,43.2
European Union - 25 countries (2004-2006),2003,43
European Union - 28 countries,2003,43
Finland,2003,51.8
France,2003,49.3
Croatia,2003,45.2
Hungary,2003,41.9
Ireland,2003,33.4
Iceland,2003,41.2
Italy,2003,43.9
Lithuania,2003,32.3
Luxembourg,2003,43.7
Latvia,2003,31.9
Malta,2003,36.2
Netherlands,2003,41.4
Norway,2003,55.1
Poland,2003,39.7
Portugal,2003,40.9
Romania,2003,32.9
Sweden,2003,52.7
Slovenia,2003,43.2
Slovakia,2003,37.2
United Kingdom,2003,35.6
Austria,2002,49.7
Belgium,2002,49.6
Bulgaria,2002,38.2
Switzerland,2002,33.9
Cyprus,2002,32.9
Czechia,2002,38.5
Germany (until 1990 former territory of the FRG),2002,43.3
Denmark,2002,53.2
Euro area (11 countries),2002,44.5
Euro area (12 countries),2002,44.4
Euro area (13 countries),2002,44.4
Euro area (15 countries),2002,44.4
Euro area (16 countries),2002,44.3
Euro area (17 countries),2002,44.3
Euro area (18 countries),2002,44.3
Euro area (19 countries),2002,44.3
Estonia,2002,36.5
Greece,2002,39.8
Spain,2002,38.2
European Union - 15 countries (1995-2004),2002,43.1
European Union - 25 countries (2004-2006),2002,43
European Union - 28 countries,2002,42.9
Finland,2002,52.6
France,2002,49.6
Croatia,2002,47
Hungary,2002,42
Ireland,2002,32.7
Iceland,2002,40.1
Italy,2002,43.8
Lithuania,2002,33.3
Luxembourg,2002,43.8
Latvia,2002,32.8
Malta,2002,36
Netherlands,2002,41.5
Norway,2002,55.8
Poland,2002,40.6
Portugal,2002,40.4
Romania,2002,33
Sweden,2002,52.4
Slovenia,2002,43.4
Slovakia,2002,37.1
United Kingdom,2002,35.7
Austria,2001,50.7
Belgium,2001,49.4
Bulgaria,2001,42
Switzerland,2001,33.5
Cyprus,2001,33.2
Czechia,2001,37.7
Germany (until 1990 former territory of the FRG),2001,43.8
Denmark,2001,54
Euro area (11 countries),2001,44.9
Euro area (12 countries),2001,44.8
Euro area (13 countries),2001,44.8
Euro area (15 countries),2001,44.8
Euro area (16 countries),2001,44.8
Euro area (17 countries),2001,44.8
Euro area (18 countries),2001,44.8
Euro area (19 countries),2001,44.7
Estonia,2001,35.2
Greece,2001,40.5
Spain,2001,37.9
European Union - 15 countries (1995-2004),2001,43.7
European Union - 25 countries (2004-2006),2001,43.6
European Union - 28 countries,2001,43.5
Finland,2001,52.3
France,2001,50.3
Croatia,2001,43.7
Hungary,2001,43.1
Ireland,2001,33.5
Iceland,2001,40.6
Italy,2001,44.1
Lithuania,2001,33.6
Luxembourg,2001,44.1
Latvia,2001,32.8
Malta,2001,35.6
Netherlands,2001,42.4
Norway,2001,57
Poland,2001,40.3
Portugal,2001,39.3
Romania,2001,32.9
Sweden,2001,54.1
Slovenia,2001,43.1
Slovakia,2001,38
United Kingdom,2001,36.8
Austria,2000,48.6
Belgium,2000,49
Bulgaria,2000,40.5
Switzerland,2000,34.2
Cyprus,2000,32.2
Czechia,2000,37.4
Germany (until 1990 former territory of the FRG),2000,45.6
Denmark,2000,54.6
Euro area (11 countries),2000,45.6
Euro area (12 countries),2000,45.6
Euro area (13 countries),2000,45.6
Euro area (15 countries),2000,45.5
Euro area (16 countries),2000,45.5
Euro area (17 countries),2000,45.5
Euro area (18 countries),2000,45.5
Euro area (19 countries),2000,45.5
Estonia,2000,36.3
Greece,2000,42.4
Spain,2000,38.1
European Union - 15 countries (1995-2004),2000,44.4
European Union - 25 countries (2004-2006),2000,44.2
Finland,2000,54.9
France,2000,50.3
Hungary,2000,44.1
Ireland,2000,35.7
Iceland,2000,42.2
Italy,2000,44.2
Lithuania,2000,36.2
Luxembourg,2000,43.7
Latvia,2000,34.5
Malta,2000,34.7
Netherlands,2000,43.3
Norway,2000,57.1
Poland,2000,39.1
Portugal,2000,39.4
Romania,2000,33.9
Sweden,2000,56.5
Slovenia,2000,42.5
Slovakia,2000,40
United Kingdom,2000,36.8
Austria,1999,49.5
Belgium,1999,49.5
Bulgaria,1999,41.8
Switzerland,1999,33.4
Cyprus,1999,30.1
Czechia,1999,38.2
Germany (until 1990 former territory of the FRG),1999,46
Denmark,1999,55.4
Euro area (11 countries),1999,46.3
Euro area (12 countries),1999,46.2
Euro area (13 countries),1999,46.1
Euro area (15 countries),1999,46.1
Euro area (16 countries),1999,46.1
Euro area (17 countries),1999,46.1
Euro area (18 countries),1999,46.1
Euro area (19 countries),1999,46.1
Estonia,1999,37
Greece,1999,40.4
Spain,1999,38.6
European Union - 15 countries (1995-2004),1999,44.8
European Union - 25 countries (2004-2006),1999,44.6
Finland,1999,52.6
France,1999,51
Hungary,1999,43.5
Ireland,1999,36.4
Iceland,1999,42.2
Italy,1999,45.6
Lithuania,1999,38
Luxembourg,1999,42.9
Latvia,1999,37.1
Malta,1999,35.1
Netherlands,1999,43.7
Norway,1999,53
Poland,1999,41.1
Portugal,1999,39.5
Romania,1999,34.8
Sweden,1999,57
Slovenia,1999,42.8
Slovakia,1999,40.6
United Kingdom,1999,36
Austria,1998,49.5
Belgium,1998,49.6
Bulgaria,1998,35.2
Switzerland,1998,33
Cyprus,1998,30.4
Czechia,1998,37.9
Germany (until 1990 former territory of the FRG),1998,45.2
Denmark,1998,55
Euro area (11 countries),1998,45.8
Euro area (12 countries),1998,45.7
Euro area (13 countries),1998,45.7
Euro area (15 countries),1998,45.6
Euro area (16 countries),1998,45.6
Euro area (17 countries),1998,45.6
Euro area (18 countries),1998,45.6
Euro area (19 countries),1998,45.6
Estonia,1998,38.7
Greece,1998,38.9
Spain,1998,38.1
European Union - 15 countries (1995-2004),1998,44.3
European Union - 25 countries (2004-2006),1998,44.2
Finland,1998,54
France,1998,50.5
Hungary,1998,43.2
Ireland,1998,36.6
Iceland,1998,40
Italy,1998,45.3
Lithuania,1998,38.1
Luxembourg,1998,45.1
Latvia,1998,37.9
Malta,1998,32.3
Netherlands,1998,43
Norway,1998,51.7
Poland,1998,41
Portugal,1998,38.3
Romania,1998,32.4
Sweden,1998,57.8
Slovenia,1998,42.7
Slovakia,1998,40.4
United Kingdom,1998,35.2
Austria,1997,49.7
Belgium,1997,49.1
Bulgaria,1997,31.4
Switzerland,1997,32.2
Cyprus,1997,29.4
Czechia,1997,38.8
Germany (until 1990 former territory of the FRG),1997,45.1
Denmark,1997,54.7
Euro area (11 countries),1997,46.2
Euro area (12 countries),1997,46
Euro area (13 countries),1997,46
Euro area (15 countries),1997,46
Euro area (16 countries),1997,46
Euro area (17 countries),1997,45.9
Euro area (18 countries),1997,45.9
Euro area (19 countries),1997,45.9
Estonia,1997,39.6
Greece,1997,37.6
Spain,1997,37.7
European Union - 15 countries (1995-2004),1997,44.4
European Union - 25 countries (2004-2006),1997,44.3
Finland,1997,54.9
France,1997,50.9
Hungary,1997,43.9
Ireland,1997,37.8
Italy,1997,46.6
Lithuania,1997,38.5
Luxembourg,1997,44
Latvia,1997,36.5
Malta,1997,34.6
Netherlands,1997,43.9
Norway,1997,53.8
Poland,1997,42.5
Portugal,1997,38.7
Romania,1997,30.2
Sweden,1997,57.6
Slovenia,1997,41.9
Slovakia,1997,42.3
United Kingdom,1997,33.7
Austria,1996,51.1
Belgium,1996,48.7
Bulgaria,1996,28.9
Switzerland,1996,32.6
Cyprus,1996,29.9
Czechia,1996,38.8
Germany (until 1990 former territory of the FRG),1996,45.4
Denmark,1996,55.5
Euro area (11 countries),1996,46.2
Euro area (12 countries),1996,46
Euro area (13 countries),1996,46
Euro area (15 countries),1996,45.9
Euro area (16 countries),1996,45.9
Euro area (17 countries),1996,45.9
Euro area (18 countries),1996,45.9
Euro area (19 countries),1996,45.9
Estonia,1996,39
Greece,1996,36.9
Spain,1996,37.6
European Union - 15 countries (1995-2004),1996,44.6
European Union - 25 countries (2004-2006),1996,44.6
Finland,1996,56.3
France,1996,51
Hungary,1996,46.5
Ireland,1996,38.7
Italy,1996,45
Lithuania,1996,33.3
Luxembourg,1996,42.7
Latvia,1996,35
Malta,1996,33.9
Netherlands,1996,45.1
Norway,1996,54
Poland,1996,46.6
Portugal,1996,38.4
Romania,1996,29.6
Sweden,1996,58.3
Slovenia,1996,42.9
Slovakia,1996,43.4
United Kingdom,1996,33.2
Austria,1995,49.7
Belgium,1995,47.9
Bulgaria,1995,26.4
Switzerland,1995,32.1
Cyprus,1995,30.2
Czechia,1995,40.5
Germany (until 1990 former territory of the FRG),1995,45.2
Denmark,1995,54.9
Euro area (11 countries),1995,45.7
Euro area (12 countries),1995,45.5
Euro area (13 countries),1995,45.5
Euro area (15 countries),1995,45.5
Euro area (16 countries),1995,45.5
Euro area (17 countries),1995,45.5
Euro area (18 countries),1995,45.4
Euro area (19 countries),1995,45.4
Estonia,1995,42.1
Greece,1995,36.3
Spain,1995,37.3
European Union - 15 countries (1995-2004),1995,44.2
European Union - 25 countries (2004-2006),1995,44.2
Finland,1995,55.1
France,1995,49.7
Hungary,1995,46.5
Ireland,1995,38.7
Italy,1995,44.6
Lithuania,1995,33
Luxembourg,1995,43.3
Latvia,1995,34.2
Malta,1995,35.7
Netherlands,1995,45
Norway,1995,53.4
Poland,1995,43.7
Portugal,1995,37.4
Romania,1995,32.3
Sweden,1995,56.5
Slovenia,1995,43.9
Slovakia,1995,44.8
United Kingdom,1995,33.3
