country,year,Net social contribution (% of GDP)
Euro area (12 countries),2013,15.5
Euro area (13 countries),2013,15.5
Euro area (15 countries),2013,15.5
Euro area (16 countries),2013,15.5
Euro area (17 countries),2013,15.5
Euro area (18 countries),2013,15.5
Euro area (19 countries),2013,15.4
Estonia,2013,11.2
Greece,2013,13.5
Spain,2013,12.5
European Union - 15 countries (1995-2004),2013,13.5
European Union - 25 countries (2004-2006),2013,13.5
European Union - 28 countries,2013,13.4
Finland,2013,12.7
France,2013,18.8
Croatia,2013,11.2
Hungary,2013,12.9
Ireland,2013,5.8
Iceland,2013,3.6
Italy,2013,13.4
Lithuania,2013,11.1
Luxembourg,2013,12.4
Latvia,2013,8.7
Malta,2013,6.9
Netherlands,2013,15.3
Norway,2013,9.5
Poland,2013,13.4
Portugal,2013,12
Romania,2013,8.6
Sweden,2013,3.4
Slovenia,2013,14.9
Slovakia,2013,13.5
United Kingdom,2013,7.5
Austria,2012,14.8
Belgium,2012,16.6
Bulgaria,2012,6.8
Switzerland,2012,6.8
Cyprus,2012,7.7
Czechia,2012,14.8
Germany (until 1990 former territory of the FRG),2012,16.5
Denmark,2012,1.2
Euro area (11 countries),2012,15.4
Euro area (12 countries),2012,15.4
Euro area (13 countries),2012,15.4
Euro area (15 countries),2012,15.4
Euro area (16 countries),2012,15.4
Euro area (17 countries),2012,15.4
Euro area (18 countries),2012,15.4
Euro area (19 countries),2012,15.3
Estonia,2012,11.4
Greece,2012,13.9
Spain,2012,12.7
European Union - 15 countries (1995-2004),2012,13.4
European Union - 25 countries (2004-2006),2012,13.4
European Union - 28 countries,2012,13.3
Finland,2012,12.8
France,2012,18.5
Croatia,2012,11.4
Hungary,2012,13
Ireland,2012,5.6
Iceland,2012,3.5
Italy,2012,13.4
Lithuania,2012,11.2
Luxembourg,2012,12.6
Latvia,2012,8.9
Malta,2012,7
Netherlands,2012,15.1
Norway,2012,9.3
Poland,2012,13
Portugal,2012,11.4
Romania,2012,8.8
Sweden,2012,3.4
Slovenia,2012,15.3
Slovakia,2012,12.5
United Kingdom,2012,7.6
Austria,2011,14.8
Belgium,2011,16.3
Bulgaria,2011,6.7
Switzerland,2011,6.7
Cyprus,2011,7.9
Czechia,2011,14.7
Germany (until 1990 former territory of the FRG),2011,16.4
Denmark,2011,1.3
Euro area (11 countries),2011,15.3
Euro area (12 countries),2011,15.2
Euro area (13 countries),2011,15.2
Euro area (15 countries),2011,15.2
Euro area (16 countries),2011,15.2
Euro area (17 countries),2011,15.2
Euro area (18 countries),2011,15.1
Euro area (19 countries),2011,15.1
Estonia,2011,11.8
Greece,2011,13.2
Spain,2011,12.9
European Union - 15 countries (1995-2004),2011,13.4
European Union - 25 countries (2004-2006),2011,13.3
European Union - 28 countries,2011,13.2
Finland,2011,12.2
France,2011,18.3
Croatia,2011,11.6
Hungary,2011,13
Ireland,2011,6.1
Iceland,2011,3.8
Italy,2011,13.2
Lithuania,2011,11.5
Luxembourg,2011,12.1
Latvia,2011,8.8
Malta,2011,7.1
Netherlands,2011,14.2
Norway,2011,9.3
Poland,2011,12.2
Portugal,2011,12
Romania,2011,9.1
Sweden,2011,3.4
Slovenia,2011,15
Slovakia,2011,12.3
United Kingdom,2011,7.7
Austria,2010,14.8
Belgium,2010,16.1
Bulgaria,2010,6.6
Switzerland,2010,6.4
Cyprus,2010,8
Czechia,2010,14.6
Germany (until 1990 former territory of the FRG),2010,16.5
Denmark,2010,1.3
Euro area (11 countries),2010,15.2
Euro area (12 countries),2010,15.1
Euro area (13 countries),2010,15.1
Euro area (15 countries),2010,15.1
Euro area (16 countries),2010,15.1
Euro area (17 countries),2010,15.1
Euro area (18 countries),2010,15.1
Euro area (19 countries),2010,15.1
Estonia,2010,13
Greece,2010,13.1
Spain,2010,12.8
European Union - 15 countries (1995-2004),2010,13.3
European Union - 25 countries (2004-2006),2010,13.3
European Union - 28 countries,2010,13.2
Finland,2010,12.2
France,2010,18.1
Croatia,2010,11.8
Hungary,2010,11.9
Ireland,2010,5.7
Iceland,2010,3.8
Italy,2010,13.3
Lithuania,2010,12.1
Luxembourg,2010,12.2
Latvia,2010,8.9
Malta,2010,6.9
Netherlands,2010,13.5
Norway,2010,9.4
Poland,2010,11.9
Portugal,2010,11.9
Romania,2010,9.4
Sweden,2010,3.2
Slovenia,2010,15.2
Slovakia,2010,12.3
United Kingdom,2010,7.7
Austria,2009,14.9
Belgium,2009,16.4
Bulgaria,2009,7.2
Switzerland,2009,6.5
Cyprus,2009,7.8
Czechia,2009,14.2
Germany (until 1990 former territory of the FRG),2009,16.9
Denmark,2009,1.4
Euro area (11 countries),2009,15.4
Euro area (12 countries),2009,15.3
Euro area (13 countries),2009,15.3
Euro area (15 countries),2009,15.3
Euro area (16 countries),2009,15.2
Euro area (17 countries),2009,15.2
Euro area (18 countries),2009,15.2
Euro area (19 countries),2009,15.2
Estonia,2009,13.1
Greece,2009,12.4
Spain,2009,12.9
European Union - 15 countries (1995-2004),2009,13.5
European Union - 25 countries (2004-2006),2009,13.5
European Union - 28 countries,2009,13.4
Finland,2009,12.3
France,2009,18.3
Croatia,2009,12.1
Hungary,2009,12.9
Ireland,2009,6
Iceland,2009,2.8
Italy,2009,13.5
Lithuania,2009,13.1
Luxembourg,2009,12.8
Latvia,2009,9.6
Malta,2009,7.1
Netherlands,2009,13.2
Norway,2009,9.6
Poland,2009,12.1
Portugal,2009,12.1
Romania,2009,9.7
Sweden,2009,3.4
Slovenia,2009,14.9
Slovakia,2009,12.6
United Kingdom,2009,7.8
Austria,2008,14.5
Belgium,2008,15.8
Bulgaria,2008,7.4
Switzerland,2008,6.2
Cyprus,2008,7
Czechia,2008,14.9
Germany (until 1990 former territory of the FRG),2008,16.1
Denmark,2008,1.3
Euro area (11 countries),2008,14.8
Euro area (12 countries),2008,14.8
Euro area (13 countries),2008,14.8
Euro area (15 countries),2008,14.8
Euro area (16 countries),2008,14.7
Euro area (17 countries),2008,14.7
Euro area (18 countries),2008,14.7
Euro area (19 countries),2008,14.7
Estonia,2008,11.6
Greece,2008,12.7
Spain,2008,12.7
European Union - 15 countries (1995-2004),2008,13
European Union - 25 countries (2004-2006),2008,13
European Union - 28 countries,2008,12.9
Finland,2008,11.6
France,2008,17.6
Croatia,2008,11.7
Hungary,2008,13.5
Ireland,2008,5.9
Iceland,2008,2.6
Italy,2008,13
Lithuania,2008,9.9
Luxembourg,2008,11.7
Latvia,2008,8.4
Malta,2008,7
Netherlands,2008,13.8
Norway,2008,8.6
Poland,2008,12.2
Portugal,2008,11.6
Romania,2008,9.6
Sweden,2008,3.3
Slovenia,2008,14
Slovakia,2008,11.8
United Kingdom,2008,7.7
Austria,2007,14.4
Belgium,2007,15.3
Bulgaria,2007,7.7
Switzerland,2007,6.1
Cyprus,2007,6.8
Czechia,2007,15
Germany (until 1990 former territory of the FRG),2007,16.1
Denmark,2007,1.4
Euro area (11 countries),2007,14.6
Euro area (12 countries),2007,14.6
Euro area (13 countries),2007,14.6
Euro area (15 countries),2007,14.6
Euro area (16 countries),2007,14.5
Euro area (17 countries),2007,14.5
Euro area (18 countries),2007,14.5
Euro area (19 countries),2007,14.5
Estonia,2007,10.5
Greece,2007,12.4
Spain,2007,12.6
European Union - 15 countries (1995-2004),2007,12.7
European Union - 25 countries (2004-2006),2007,12.7
European Union - 28 countries,2007,12.6
Finland,2007,11.6
France,2007,17.6
Croatia,2007,11.5
Hungary,2007,13.5
Ireland,2007,5.4
Iceland,2007,2.9
Italy,2007,12.6
Lithuania,2007,9.4
Luxembourg,2007,11.2
Latvia,2007,8.1
Malta,2007,6.9
Netherlands,2007,13
Norway,2007,8.7
Poland,2007,12.8
Portugal,2007,11.3
Romania,2007,10.3
Sweden,2007,3.2
Slovenia,2007,13.7
Slovakia,2007,11.7
United Kingdom,2007,7.5
Austria,2006,14.7
Belgium,2006,15.2
Bulgaria,2006,8.1
Switzerland,2006,6.2
Cyprus,2006,7.1
Czechia,2006,14.9
Germany (until 1990 former territory of the FRG),2006,16.9
Denmark,2006,1.4
Euro area (11 countries),2006,14.8
Euro area (12 countries),2006,14.8
Euro area (13 countries),2006,14.8
Euro area (15 countries),2006,14.7
Euro area (16 countries),2006,14.7
Euro area (17 countries),2006,14.7
Euro area (18 countries),2006,14.7
Euro area (19 countries),2006,14.7
Estonia,2006,10.1
Greece,2006,11.9
Spain,2006,12.6
European Union - 15 countries (1995-2004),2006,12.8
European Union - 25 countries (2004-2006),2006,12.8
European Union - 28 countries,2006,12.8
Finland,2006,11.9
France,2006,17.8
Croatia,2006,11.5
Hungary,2006,12.4
Ireland,2006,5.2
Iceland,2006,3.2
Italy,2006,11.9
Lithuania,2006,9.4
Luxembourg,2006,11.2
Latvia,2006,8.3
Malta,2006,7.2
Netherlands,2006,13.5
Norway,2006,8.5
Poland,2006,13.1
Portugal,2006,11.5
Romania,2006,10.4
Sweden,2006,3.2
Slovenia,2006,14
Slovakia,2006,11.7
United Kingdom,2006,7.5
Austria,2005,14.9
Belgium,2005,15.3
Bulgaria,2005,9.5
Switzerland,2005,6.4
Cyprus,2005,7.5
Czechia,2005,14.8
Germany (until 1990 former territory of the FRG),2005,17.4
Denmark,2005,1.5
Euro area (11 countries),2005,15
Euro area (12 countries),2005,14.9
Euro area (13 countries),2005,14.9
Euro area (15 countries),2005,14.9
Euro area (16 countries),2005,14.9
Euro area (17 countries),2005,14.9
Euro area (18 countries),2005,14.9
Euro area (19 countries),2005,14.9
Estonia,2005,10.3
Greece,2005,12.3
Spain,2005,12.6
European Union - 15 countries (1995-2004),2005,13
European Union - 25 countries (2004-2006),2005,13
European Union - 28 countries,2005,12.9
Finland,2005,11.6
France,2005,17.7
Croatia,2005,11.6
Hungary,2005,12.3
Ireland,2005,5.1
Iceland,2005,3.1
Italy,2005,12.2
Lithuania,2005,9.2
Luxembourg,2005,11.9
Latvia,2005,8.1
Malta,2005,7.4
Netherlands,2005,12.9
Norway,2005,8.7
Poland,2005,13.3
Portugal,2005,11.6
Romania,2005,10.3
Sweden,2005,3.5
Slovenia,2005,14.2
Slovakia,2005,12.6
United Kingdom,2005,7.6
Austria,2004,15.2
Belgium,2004,15.5
Bulgaria,2004,10
Switzerland,2004,6.6
Cyprus,2004,7
Czechia,2004,14.8
Germany (until 1990 former territory of the FRG),2004,17.6
Denmark,2004,1.6
Euro area (11 countries),2004,15.1
Euro area (12 countries),2004,15.1
Euro area (13 countries),2004,15.1
Euro area (15 countries),2004,15
Euro area (16 countries),2004,15
Euro area (17 countries),2004,15
Euro area (18 countries),2004,15
Euro area (19 countries),2004,15
Estonia,2004,10.4
Greece,2004,12.1
Spain,2004,12.7
European Union - 15 countries (1995-2004),2004,13.1
European Union - 25 countries (2004-2006),2004,13.1
European Union - 28 countries,2004,13
Finland,2004,11.4
France,2004,17.6
Croatia,2004,11.8
Hungary,2004,12.1
Ireland,2004,5.1
Iceland,2004,2.9
Italy,2004,12.2
Lithuania,2004,9.4
Luxembourg,2004,11.9
Latvia,2004,8.5
Malta,2004,7.4
Netherlands,2004,13.8
Norway,2004,9.2
Poland,2004,13.2
Portugal,2004,11.3
Romania,2004,9.8
Sweden,2004,3.8
Slovenia,2004,14.2
Slovakia,2004,13.1
United Kingdom,2004,7.4
Austria,2003,15.3
Belgium,2003,15.9
Bulgaria,2003,10.2
Switzerland,2003,6.9
Cyprus,2003,6.4
Czechia,2003,15
Germany (until 1990 former territory of the FRG),2003,18
Denmark,2003,1.7
Euro area (11 countries),2003,15.3
Euro area (12 countries),2003,15.3
Euro area (13 countries),2003,15.3
Euro area (15 countries),2003,15.2
Euro area (16 countries),2003,15.2
Euro area (17 countries),2003,15.2
Euro area (18 countries),2003,15.2
Euro area (19 countries),2003,15.2
Estonia,2003,10.7
Greece,2003,12.5
Spain,2003,12.7
European Union - 15 countries (1995-2004),2003,13.2
European Union - 25 countries (2004-2006),2003,13.2
European Union - 28 countries,2003,13.2
Finland,2003,11.5
France,2003,17.8
Croatia,2003,11.8
Hungary,2003,12.5
Ireland,2003,5
Iceland,2003,3
Italy,2003,12.1
Lithuania,2003,9.2
Luxembourg,2003,12
Latvia,2003,8.6
Malta,2003,7.4
Netherlands,2003,13.7
Norway,2003,9.6
Poland,2003,13.8
Portugal,2003,11.5
Romania,2003,10.2
Sweden,2003,3.9
Slovenia,2003,14.1
Slovakia,2003,13.8
United Kingdom,2003,7.1
Austria,2002,15.3
Belgium,2002,16
Bulgaria,2002,9.4
Switzerland,2002,7.2
Cyprus,2002,6.2
Czechia,2002,14.8
Germany (until 1990 former territory of the FRG),2002,17.8
Denmark,2002,1.7
Euro area (11 countries),2002,15.2
Euro area (12 countries),2002,15.1
Euro area (13 countries),2002,15.1
Euro area (15 countries),2002,15.1
Euro area (16 countries),2002,15.1
Euro area (17 countries),2002,15.1
Euro area (18 countries),2002,15.1
Euro area (19 countries),2002,15.1
Estonia,2002,11.1
Greece,2002,12.6
Spain,2002,12.7
European Union - 15 countries (1995-2004),2002,13
European Union - 25 countries (2004-2006),2002,13
European Union - 28 countries,2002,13
Finland,2002,11.6
France,2002,17.5
Croatia,2002,11.9
Hungary,2002,12.7
Ireland,2002,4.9
Iceland,2002,2.7
Italy,2002,12
Lithuania,2002,9.4
Luxembourg,2002,11.8
Latvia,2002,9.2
Malta,2002,7.7
Netherlands,2002,13.2
Norway,2002,9.7
Poland,2002,14
Portugal,2002,11
Romania,2002,11.1
Sweden,2002,3.9
Slovenia,2002,14.2
Slovakia,2002,14.5
United Kingdom,2002,6.8
Austria,2001,15.5
Belgium,2001,15.7
Bulgaria,2001,9.7
Switzerland,2001,7
Cyprus,2001,6.3
Czechia,2001,14.3
Germany (until 1990 former territory of the FRG),2001,17.8
Denmark,2001,2.3
Euro area (11 countries),2001,15.2
Euro area (12 countries),2001,15.1
Euro area (13 countries),2001,15.1
Euro area (15 countries),2001,15.1
Euro area (16 countries),2001,15.1
Euro area (17 countries),2001,15.1
Euro area (18 countries),2001,15.1
Euro area (19 countries),2001,15.1
Estonia,2001,10.7
Greece,2001,11.7
Spain,2001,12.7
European Union - 15 countries (1995-2004),2001,13
European Union - 25 countries (2004-2006),2001,13.1
European Union - 28 countries,2001,13
Finland,2001,11.8
France,2001,17.4
Croatia,2001,11.1
Hungary,2001,12.8
Ireland,2001,5
Iceland,2001,2.7
Italy,2001,11.8
Lithuania,2001,9.7
Luxembourg,2001,11.7
Latvia,2001,9.3
Malta,2001,7.8
Netherlands,2001,13.6
Norway,2001,9.1
Poland,2001,14.6
Portugal,2001,10.7
Romania,2001,11.3
Sweden,2001,4.7
Slovenia,2001,14.4
Slovakia,2001,14.2
United Kingdom,2001,6.9
Austria,2000,15.5
Belgium,2000,15.4
Bulgaria,2000,10.6
Switzerland,2000,6.8
Cyprus,2000,6.1
Czechia,2000,14.4
Germany (until 1990 former territory of the FRG),2000,18.1
Denmark,2000,2.4
Euro area (11 countries),2000,15.4
Euro area (12 countries),2000,15.3
Euro area (13 countries),2000,15.3
Euro area (15 countries),2000,15.3
Euro area (16 countries),2000,15.3
Euro area (17 countries),2000,15.3
Euro area (18 countries),2000,15.3
Euro area (19 countries),2000,15.3
Estonia,2000,11
Greece,2000,11.6
Spain,2000,12.6
European Union - 15 countries (1995-2004),2000,13.1
European Union - 25 countries (2004-2006),2000,13.1
Finland,2000,11.8
France,2000,17.4
Hungary,2000,13.1
Ireland,2000,4.9
Iceland,2000,2.8
Italy,2000,11.8
Lithuania,2000,10.2
Luxembourg,2000,11
Latvia,2000,10
Malta,2000,7.4
Netherlands,2000,15.1
Norway,2000,8.8
Poland,2000,14
Portugal,2000,10.5
Romania,2000,11.4
Sweden,2000,5.1
Slovenia,2000,14.2
Slovakia,2000,14
United Kingdom,2000,6.8
Austria,1999,15.9
Belgium,1999,15.9
Bulgaria,1999,9.9
Switzerland,1999,6.8
Cyprus,1999,6.2
Czechia,1999,14.3
Germany (until 1990 former territory of the FRG),1999,18.5
Denmark,1999,2.2
Euro area (11 countries),1999,15.7
Euro area (12 countries),1999,15.6
Euro area (13 countries),1999,15.6
Euro area (15 countries),1999,15.6
Euro area (16 countries),1999,15.6
Euro area (17 countries),1999,15.6
Euro area (18 countries),1999,15.6
Euro area (19 countries),1999,15.6
Estonia,1999,11.1
Greece,1999,11
Spain,1999,12.6
European Union - 15 countries (1995-2004),1999,13.4
European Union - 25 countries (2004-2006),1999,13.4
Finland,1999,12.5
France,1999,17.7
Hungary,1999,13
Ireland,1999,4.9
Iceland,1999,2.7
Italy,1999,12.2
Lithuania,1999,10.1
Luxembourg,1999,11.1
Latvia,1999,10.6
Malta,1999,7.3
Netherlands,1999,15.3
Norway,1999,9.9
Poland,1999,14.7
Portugal,1999,10.1
Romania,1999,11.4
Sweden,1999,4.5
Slovenia,1999,14
Slovakia,1999,13.9
United Kingdom,1999,6.7
Austria,1998,15.9
Belgium,1998,15.9
Bulgaria,1998,8.1
Switzerland,1998,6.7
Cyprus,1998,6.4
Czechia,1998,14.3
Germany (until 1990 former territory of the FRG),1998,18.7
Denmark,1998,1.6
Euro area (11 countries),1998,15.8
Euro area (12 countries),1998,15.7
Euro area (13 countries),1998,15.7
Euro area (15 countries),1998,15.7
Euro area (16 countries),1998,15.7
Euro area (17 countries),1998,15.7
Euro area (18 countries),1998,15.6
Euro area (19 countries),1998,15.6
Estonia,1998,11.2
Greece,1998,10.8
Spain,1998,12.5
European Union - 15 countries (1995-2004),1998,13.4
European Union - 25 countries (2004-2006),1998,13.4
Finland,1998,12.6
France,1998,17.5
Hungary,1998,13.6
Ireland,1998,5
Iceland,1998,2.7
Italy,1998,12.2
Lithuania,1998,10
Luxembourg,1998,11.4
Latvia,1998,10.1
Malta,1998,7.3
Netherlands,1998,14.8
Norway,1998,10.1
Poland,1998,12.6
Portugal,1998,10.2
Romania,1998,9.5
Sweden,1998,4.7
Slovenia,1998,14.2
Slovakia,1998,14.7
United Kingdom,1998,6.5
Austria,1997,16.1
Belgium,1997,15.9
Bulgaria,1997,7.7
Switzerland,1997,7
Cyprus,1997,6.3
Czechia,1997,14.5
Germany (until 1990 former territory of the FRG),1997,19
Denmark,1997,1.6
Euro area (11 countries),1997,16.8
Euro area (12 countries),1997,16.7
Euro area (13 countries),1997,16.7
Euro area (15 countries),1997,16.6
Euro area (16 countries),1997,16.6
Euro area (17 countries),1997,16.6
Euro area (18 countries),1997,16.6
Euro area (19 countries),1997,16.6
Estonia,1997,11.4
Greece,1997,10.6
Spain,1997,12.6
European Union - 15 countries (1995-2004),1997,14.3
European Union - 25 countries (2004-2006),1997,14.2
Finland,1997,12.9
France,1997,19.6
Hungary,1997,13.9
Ireland,1997,5.3
Italy,1997,14.5
Lithuania,1997,9
Luxembourg,1997,11.1
Latvia,1997,10.2
Malta,1997,7.7
Netherlands,1997,15.1
Norway,1997,9.4
Poland,1997,12.7
Portugal,1997,10
Romania,1997,7.2
Sweden,1997,6.8
Slovenia,1997,14.1
Slovakia,1997,14.7
United Kingdom,1997,6.4
Austria,1996,16.2
Belgium,1996,16
Bulgaria,1996,6.8
Switzerland,1996,7.1
Cyprus,1996,6.2
Czechia,1996,14.2
Germany (until 1990 former territory of the FRG),1996,18.7
Denmark,1996,1.7
Euro area (11 countries),1996,16.9
Euro area (12 countries),1996,16.8
Euro area (13 countries),1996,16.8
Euro area (15 countries),1996,16.8
Euro area (16 countries),1996,16.8
Euro area (17 countries),1996,16.8
Euro area (18 countries),1996,16.7
Euro area (19 countries),1996,16.7
Estonia,1996,11.6
Greece,1996,10.4
Spain,1996,12.5
European Union - 15 countries (1995-2004),1996,14.6
European Union - 25 countries (2004-2006),1996,14.5
Finland,1996,13.8
France,1996,20
Hungary,1996,13.7
Ireland,1996,5.7
Italy,1996,14.4
Lithuania,1996,7.7
Luxembourg,1996,11.1
Latvia,1996,10.3
Malta,1996,7.3
Netherlands,1996,15.3
Norway,1996,9.4
Poland,1996,12.5
Portugal,1996,9.8
Romania,1996,7.5
Sweden,1996,6.5
Slovenia,1996,14.9
Slovakia,1996,15.7
United Kingdom,1996,6.3
Austria,1995,16.1
Belgium,1995,16
Bulgaria,1995,6.8
Switzerland,1995,7
Cyprus,1995,6.1
Czechia,1995,14.2
Germany (until 1990 former territory of the FRG),1995,18.1
Denmark,1995,1.7
Euro area (11 countries),1995,16.7
Euro area (12 countries),1995,16.6
Euro area (13 countries),1995,16.6
Euro area (15 countries),1995,16.6
Euro area (16 countries),1995,16.6
Euro area (17 countries),1995,16.6
Euro area (18 countries),1995,16.6
Euro area (19 countries),1995,16.6
Estonia,1995,12.3
Greece,1995,10.4
Spain,1995,12.4
European Union - 15 countries (1995-2004),1995,14.5
European Union - 25 countries (2004-2006),1995,14.5
Finland,1995,14.3
France,1995,19.9
Hungary,1995,14.6
Ireland,1995,6
Italy,1995,14.1
Lithuania,1995,7.2
Luxembourg,1995,11.3
Latvia,1995,11
Malta,1995,7.2
Netherlands,1995,15.8
Norway,1995,9.6
Poland,1995,12.2
Portugal,1995,9.9
Romania,1995,7.9
Sweden,1995,5.9
Slovenia,1995,16.7
Slovakia,1995,14.8
United Kingdom,1995,6.4
