country,year,expenditure on social protection (% GDP)
Lithuania,2013,15.4
Lithuania,2014,15.3
Lithuania,2015,15.6
Lithuania,2016,15.4
Lithuania,2017,15.1
Luxembourg,2006,20.5
Luxembourg,2007,19.5
Luxembourg,2008,20.9
Luxembourg,2009,23.4
Luxembourg,2010,22.5
Luxembourg,2011,21.8
Luxembourg,2012,22.7
Luxembourg,2013,23.1
Luxembourg,2014,22.5
Luxembourg,2015,22.3
Luxembourg,2016,21.9
Malta,2006,17.8
Malta,2007,17.8
Malta,2008,18.2
Malta,2009,19.6
Malta,2010,19.3
Malta,2011,18.9
Malta,2012,19.1
Malta,2013,18.9
Malta,2014,18.2
Malta,2015,16.8
Malta,2016,16.4
Netherlands,2006,26.3
Netherlands,2007,25.9
Netherlands,2008,26.1
Netherlands,2009,29
Netherlands,2010,29.3
Netherlands,2011,29.9
Netherlands,2012,30.6
Netherlands,2013,30.8
Netherlands,2014,30.6
Netherlands,2015,29.9
Netherlands,2016,29.5
North Macedonia,2015,14.3
North Macedonia,2016,14.2
Norway,2006,22.1
Norway,2007,22.1
Norway,2008,21.8
Norway,2009,25.5
Norway,2010,25.2
Norway,2011,24.8
Norway,2012,24.6
Norway,2013,25.1
Norway,2014,26
Norway,2015,27.9
Norway,2016,29
Poland,2006,19.7
Poland,2007,18.4
Poland,2008,19.3
Poland,2009,20.3
Poland,2010,19.7
Poland,2011,18.7
Poland,2012,18.9
Poland,2013,19.6
Poland,2014,19.3
Poland,2015,19.4
Poland,2016,20.3
Portugal,2006,23.7
Portugal,2007,23
Portugal,2008,23.4
Portugal,2009,25.8
Portugal,2010,25.8
Portugal,2011,25.8
Portugal,2012,26.4
Portugal,2013,27.6
Portugal,2014,26.9
Portugal,2015,25.7
Portugal,2016,25.1
Romania,2006,12.9
Romania,2007,13.3
Romania,2008,13.7
Romania,2009,16.2
Romania,2010,17.5
Romania,2011,16.6
Romania,2012,15.4
Romania,2013,14.9
Romania,2014,14.7
Romania,2015,14.6
Romania,2016,14.6
Serbia,2008,21.6
Serbia,2009,23.1
Serbia,2010,22.6
Serbia,2011,21.4
Serbia,2012,22.6
Serbia,2013,21.9
Serbia,2014,22
Serbia,2015,20.7
Serbia,2016,20.3
Slovakia,2006,16
Slovakia,2007,15.7
Slovakia,2008,15.7
Slovakia,2009,18.5
Slovakia,2010,18.2
Slovakia,2011,17.8
Slovakia,2012,18
Slovakia,2013,18.3
Slovakia,2014,18.5
Slovakia,2015,18.2
Slovakia,2016,18.3
Slovakia,2017,18.1
Slovenia,2006,22.3
Slovenia,2007,20.9
Slovenia,2008,21
Slovenia,2009,23.7
Slovenia,2010,24.4
Slovenia,2011,24.5
Slovenia,2012,24.9
Slovenia,2013,24.7
Slovenia,2014,23.9
Slovenia,2015,23.7
Slovenia,2016,23.3
Spain,2006,20
Spain,2007,20.3
Spain,2008,21.4
Spain,2009,24.4
Spain,2010,24.6
Spain,2011,25.3
Spain,2012,25.5
Spain,2013,25.8
Spain,2014,25.4
Spain,2015,24.6
Spain,2016,24.3
Sweden,2006,28.6
Sweden,2007,27.4
Sweden,2008,27.9
Sweden,2009,30.2
Sweden,2010,28.8
Sweden,2011,28.5
Sweden,2012,29.5
Sweden,2013,30.2
Sweden,2014,29.8
Sweden,2015,29.4
Sweden,2016,29.6
Switzerland,2006,24.9
Switzerland,2007,23.9
Switzerland,2008,23.6
Switzerland,2009,25.8
Switzerland,2010,25.9
Switzerland,2011,25.8
Switzerland,2012,26.6
Switzerland,2013,27.4
Switzerland,2014,27.2
Switzerland,2015,27.8
Switzerland,2016,28.1
Switzerland,2017,28.3
Turkey,2006,10.8
Turkey,2007,11.1
Turkey,2008,11.4
Turkey,2009,13.5
Turkey,2010,12.8
Turkey,2011,12.3
Turkey,2012,12.5
Turkey,2013,12.2
Turkey,2014,12.1
Turkey,2015,12
Turkey,2016,12.9
United Kingdom,2006,24.8
United Kingdom,2007,24.6
United Kingdom,2008,25.7
United Kingdom,2009,28.4
United Kingdom,2010,28.8
United Kingdom,2011,28.9
United Kingdom,2012,28.9
United Kingdom,2013,28.3
United Kingdom,2014,27.5
United Kingdom,2015,27.6
United Kingdom,2016,26.2
