iso3,country,employment_in_industry,year,indicator,indicator.label,note_source.label
ARM,Armenia,15.91,2015,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,15.78,2016,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,16.71,2017,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
AUT,Austria,32.1,1995,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,30.3,1996,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,29.64,1997,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,29.56,1998,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,29.76,1999,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,30.02,2000,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,29.37,2001,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,28.85,2002,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,28.92,2003,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,26.69,2004,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,27.57,2005,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,28.16,2006,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,27.32,2007,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,26.24,2008,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,24.97,2009,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,24.91,2010,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,26.03,2011,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,26.08,2012,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,25.91,2013,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,25.75,2014,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,25.76,2015,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,25.56,2016,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,24.92,2017,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,25.44,2018,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
AZE,Azerbaijan,17.77,1995,EMP_TIND_NOC_RT,Share of industry in total employment (%),Population coverage: Including armed forces and/or conscripts
AZE,Azerbaijan,15.12,1996,EMP_TIND_NOC_RT,Share of industry in total employment (%),Population coverage: Including armed forces and/or conscripts
AZE,Azerbaijan,14,1997,EMP_TIND_NOC_RT,Share of industry in total employment (%),Population coverage: Including armed forces and/or conscripts
AZE,Azerbaijan,11.12,1998,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
AZE,Azerbaijan,11.17,1999,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
AZE,Azerbaijan,10.88,2000,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
AZE,Azerbaijan,10.82,2001,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
AZE,Azerbaijan,11.53,2002,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
AZE,Azerbaijan,12.9,2003,EMP_TIND_NOC_RT,Share of industry in total employment (%),Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,11.91,2004,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
AZE,Azerbaijan,12.08,2005,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
AZE,Azerbaijan,12.35,2006,EMP_TIND_NOC_RT,Share of industry in total employment (%),Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,12.63,2007,EMP_TIND_NOC_RT,Share of industry in total employment (%),Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,12.7,2008,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
AZE,Azerbaijan,14.37,2017,EMP_TIND_NOC_RT,Share of industry in total employment (%),Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
AZE,Azerbaijan,14.72,2018,EMP_TIND_NOC_RT,Share of industry in total employment (%),Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
BEL,Belgium,28.25,1995,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,27.63,1996,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,27.55,1997,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,27.25,1998,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,25.77,1999,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,25.81,2000,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,25.49,2001,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,25.78,2002,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,24.92,2003,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,24.94,2004,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,24.69,2005,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,24.69,2006,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,24.42,2007,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,24.67,2008,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,23.47,2009,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,23.38,2010,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,23.23,2011,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,21.76,2012,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,21.7,2013,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,21.39,2014,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,21.43,2015,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,21.26,2016,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,20.76,2017,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,21.06,2018,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,33.5,1995,EMP_TIND_NOC_RT,Share of industry in total employment (%),Population coverage: Excluding armed forces and/or conscripts
BGR,Bulgaria,32.58,1996,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
BGR,Bulgaria,32,1997,EMP_TIND_NOC_RT,Share of industry in total employment (%),Population coverage: Excluding armed forces and/or conscripts
BGR,Bulgaria,30.63,1998,EMP_TIND_NOC_RT,Share of industry in total employment (%),Population coverage: Excluding armed forces and/or conscripts
BGR,Bulgaria,28.86,1999,EMP_TIND_NOC_RT,Share of industry in total employment (%),Population coverage: Excluding armed forces and/or conscripts
BGR,Bulgaria,32.66,2000,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,32.72,2001,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,32.63,2002,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,32.11,2003,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,32.85,2004,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,34.22,2005,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,34.47,2006,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,35.5,2007,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,36.43,2008,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,35.24,2009,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,32.98,2010,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,31.45,2011,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,31.32,2012,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,30.19,2013,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,30.12,2014,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,29.89,2015,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,29.79,2016,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,29.9,2017,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,30.11,2018,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
BIH,Bosnia and Herzegovina,30.76,2006,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,32.58,2007,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,32.47,2008,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,31.48,2009,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,30.86,2010,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,28.88,2011,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,30.36,2012,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,30,2014,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,31.28,2016,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,32.13,2018,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BLR,Belarus,31.07,2015,EMP_TIND_NOC_RT,Share of industry in total employment (%),Age coverage - minimum age: 16 years old
BLR,Belarus,31.5,2016,EMP_TIND_NOC_RT,Share of industry in total employment (%),Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Age coverage - maximum age: 74 years old
BLR,Belarus,30.76,2017,EMP_TIND_NOC_RT,Share of industry in total employment (%),Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Age coverage - maximum age: 74 years old
BLR,Belarus,30.62,2018,EMP_TIND_NOC_RT,Share of industry in total employment (%),Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents
CYP,Cyprus,25.25,1995,EMP_TIND_NOC_RT,Share of industry in total employment (%),Population coverage: Excluding armed forces and/or conscripts
CYP,Cyprus,23.77,2000,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,23.69,2001,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,23.18,2002,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,22.88,2003,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,23.38,2004,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,24.05,2005,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,22.65,2006,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,22.52,2007,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,23.05,2008,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,21.82,2009,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,20.4,2010,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,20.9,2011,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,20.17,2012,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,17.56,2013,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,16.52,2014,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,16.23,2015,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,17.05,2016,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,17.05,2017,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,16.66,2018,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,42.23,1995,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: OECD
CZE,Czech Republic,41.99,1996,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: OECD
CZE,Czech Republic,41.53,1997,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,41.5,1998,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,40.54,1999,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,39.91,2000,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,40.51,2001,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,40.09,2002,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,39.87,2003,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,39.29,2004,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,39.47,2005,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,39.96,2006,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,40.21,2007,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,40.52,2008,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,38.57,2009,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,37.99,2010,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,38.45,2011,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,38.12,2012,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,37.51,2013,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,38.04,2014,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,38.02,2015,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,38.07,2016,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,38.05,2017,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,37.5,2018,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,36,1995,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,35.27,1996,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,34.67,1997,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,34.39,1998,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,33.83,1999,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,33.53,2000,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,32.78,2001,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,32.37,2002,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,31.38,2003,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,31.25,2004,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,29.84,2005,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,29.65,2006,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,29.9,2007,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,29.34,2008,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,28.8,2009,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,28.31,2010,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,28.24,2011,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,28.19,2012,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,27.78,2013,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,28.05,2014,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,27.69,2015,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,27.38,2016,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,27.4,2017,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,27.34,2018,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,27.03,1995,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,26.35,1996,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,26.13,1997,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,26.38,1998,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,26.83,1999,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,25.25,2000,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,25.34,2001,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,23.43,2002,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,23.1,2003,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,23.64,2004,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,23.85,2005,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,23.3,2006,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,23.48,2007,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,23.1,2008,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,20.28,2009,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,19.6,2010,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,19.87,2011,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,19.68,2012,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,19.43,2013,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,19.21,2014,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,19.23,2015,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,18.46,2016,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,18.62,2017,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,18.61,2018,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
ESP,Spain,30.2,1995,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: Eurostat special tabulation
