iso2c,country,GB.XPD.RSDV.GD.ZS,year
RS,Serbia,0.89059,2016
RS,Serbia,0.86536,2015
RS,Serbia,0.76972,2014
RS,Serbia,0.72684,2013
RS,Serbia,0.90691,2012
RS,Serbia,0.72439,2011
RS,Serbia,0.74427,2010
RS,Serbia,0.86613,2009
RS,Serbia,0.70955,2008
RS,Serbia,0.62017,2007
RS,Serbia,0.46678,2006
RS,Serbia,0.41685,2005
RS,Serbia,0.30444,2004
RS,Serbia,0.52138,2003
RS,Serbia,0.67954,2002
RS,Serbia,0.32119,2001
RS,Serbia,0.89807,2000
RS,Serbia,0.99719,1999
RS,Serbia,0.80135,1998
RS,Serbia,0.75404,1997
RS,Serbia,NA,1996
RS,Serbia,NA,1995
SK,Slovak Republic,NA,2017
SK,Slovak Republic,0.78965,2016
SK,Slovak Republic,1.1753,2015
SK,Slovak Republic,0.88008,2014
SK,Slovak Republic,0.82362,2013
SK,Slovak Republic,0.80495,2012
SK,Slovak Republic,0.66326,2011
SK,Slovak Republic,0.61614,2010
SK,Slovak Republic,0.47326,2009
SK,Slovak Republic,0.46204,2008
SK,Slovak Republic,0.44824,2007
SK,Slovak Republic,0.47563,2006
SK,Slovak Republic,0.49401,2005
SK,Slovak Republic,0.50149,2004
SK,Slovak Republic,0.56247,2003
SK,Slovak Republic,0.56389,2002
SK,Slovak Republic,0.62565,2001
SK,Slovak Republic,0.63927,2000
SK,Slovak Republic,0.64556,1999
SK,Slovak Republic,0.76611,1998
SK,Slovak Republic,1.05283,1997
SK,Slovak Republic,0.89292,1996
SK,Slovak Republic,NA,1995
SI,Slovenia,NA,2017
SI,Slovenia,2.00202,2016
SI,Slovenia,2.19655,2015
SI,Slovenia,2.3667,2014
SI,Slovenia,2.5801,2013
SI,Slovenia,2.57319,2012
SI,Slovenia,2.42358,2011
SI,Slovenia,2.05763,2010
SI,Slovenia,1.81629,2009
SI,Slovenia,1.62564,2008
SI,Slovenia,1.42382,2007
SI,Slovenia,1.53291,2006
SI,Slovenia,1.41229,2005
SI,Slovenia,1.36806,2004
SI,Slovenia,1.24528,2003
SI,Slovenia,1.43874,2002
SI,Slovenia,1.46773,2001
SI,Slovenia,1.3563,2000
SI,Slovenia,1.33814,1999
SI,Slovenia,1.30637,1998
SI,Slovenia,1.24727,1997
SI,Slovenia,1.26633,1996
SI,Slovenia,NA,1995
SE,Sweden,NA,2017
SE,Sweden,3.2549,2016
SE,Sweden,3.26549,2015
SE,Sweden,3.14587,2014
SE,Sweden,3.30605,2013
SE,Sweden,3.28134,2012
SE,Sweden,3.24919,2011
SE,Sweden,3.21611,2010
SE,Sweden,3.44965,2009
SE,Sweden,3.49525,2008
SE,Sweden,3.25661,2007
SE,Sweden,3.50032,2006
SE,Sweden,3.387,2005
SE,Sweden,3.39134,2004
SE,Sweden,3.61438,2003
SE,Sweden,NA,2002
SE,Sweden,3.91382,2001
SE,Sweden,NA,2000
SE,Sweden,3.42157,1999
SE,Sweden,NA,1998
SE,Sweden,3.31935,1997
SE,Sweden,NA,1996
SE,Sweden,NA,1995
TJ,Tajikistan,0.11556,2017
TJ,Tajikistan,0.10685,2016
TJ,Tajikistan,0.1089,2015
TJ,Tajikistan,0.11468,2014
TJ,Tajikistan,0.1177,2013
TJ,Tajikistan,0.11432,2012
TJ,Tajikistan,0.12148,2011
TJ,Tajikistan,0.08914,2010
TJ,Tajikistan,0.08577,2009
TJ,Tajikistan,0.06983,2008
TJ,Tajikistan,0.067780000000000007,2007
TJ,Tajikistan,0.10732,2006
TJ,Tajikistan,0.0957,2005
TJ,Tajikistan,0.06697,2004
TJ,Tajikistan,0.0689,2003
TJ,Tajikistan,0.07068,2002
TJ,Tajikistan,0.08953,2001
TJ,Tajikistan,NA,2000
TJ,Tajikistan,NA,1999
TJ,Tajikistan,NA,1998
TJ,Tajikistan,NA,1997
TJ,Tajikistan,NA,1996
TJ,Tajikistan,NA,1995
TM,Turkmenistan,NA,2017
TM,Turkmenistan,NA,2016
TM,Turkmenistan,NA,2015
TM,Turkmenistan,NA,2014
TM,Turkmenistan,NA,2013
TM,Turkmenistan,NA,2012
TM,Turkmenistan,NA,2011
TM,Turkmenistan,NA,2010
TM,Turkmenistan,NA,2009
TM,Turkmenistan,NA,2008
TM,Turkmenistan,NA,2007
TM,Turkmenistan,NA,2006
TM,Turkmenistan,NA,2005
TM,Turkmenistan,NA,2004
TM,Turkmenistan,NA,2003
TM,Turkmenistan,NA,2002
TM,Turkmenistan,NA,2001
TM,Turkmenistan,NA,2000
TM,Turkmenistan,NA,1999
TM,Turkmenistan,NA,1998
TM,Turkmenistan,NA,1997
TM,Turkmenistan,NA,1996
TM,Turkmenistan,NA,1995
TR,Turkey,NA,2017
TR,Turkey,NA,2016
TR,Turkey,0.8815,2015
TR,Turkey,0.86077,2014
TR,Turkey,0.81821,2013
TR,Turkey,0.83217,2012
TR,Turkey,0.79988,2011
TR,Turkey,0.79892,2010
TR,Turkey,0.8094,2009
TR,Turkey,0.69292,2008
TR,Turkey,0.69182,2007
TR,Turkey,0.55749,2006
TR,Turkey,0.56931,2005
TR,Turkey,0.50215,2004
TR,Turkey,0.46945,2003
TR,Turkey,0.51294,2002
TR,Turkey,0.52638,2001
TR,Turkey,0.46783,2000
TR,Turkey,0.45646,1999
TR,Turkey,0.36224,1998
TR,Turkey,0.49169,1997
TR,Turkey,0.45159,1996
TR,Turkey,NA,1995
UA,Ukraine,0.44853,2017
UA,Ukraine,0.48384,2016
UA,Ukraine,0.61477,2015
UA,Ukraine,0.65034,2014
UA,Ukraine,0.76175,2013
UA,Ukraine,0.75167,2012
UA,Ukraine,0.7378,2011
UA,Ukraine,0.83346,2010
UA,Ukraine,0.85644,2009
UA,Ukraine,0.84644,2008
UA,Ukraine,0.85319,2007
UA,Ukraine,0.94908,2006
UA,Ukraine,1.03096,2005
UA,Ukraine,1.08152,2004
UA,Ukraine,1.11179,2003
UA,Ukraine,0.9982,2002
UA,Ukraine,1.02329,2001
UA,Ukraine,0.96213,2000
UA,Ukraine,0.96968,1999
UA,Ukraine,1.06993,1998
UA,Ukraine,1.1923,1997
UA,Ukraine,NA,1996
UA,Ukraine,NA,1995
UZ,Uzbekistan,0.18903,2017
UZ,Uzbekistan,0.22139,2016
UZ,Uzbekistan,0.21254,2015
UZ,Uzbekistan,0.19644,2014
UZ,Uzbekistan,0.19662,2013
UZ,Uzbekistan,0.2021,2012
UZ,Uzbekistan,0.19499,2011
UZ,Uzbekistan,0.19523,2010
UZ,Uzbekistan,0.20315,2009
UZ,Uzbekistan,0.19354,2008
UZ,Uzbekistan,0.21721,2007
UZ,Uzbekistan,0.22395,2006
UZ,Uzbekistan,0.23741,2005
UZ,Uzbekistan,0.27041,2004
UZ,Uzbekistan,0.26842,2003
UZ,Uzbekistan,0.29356,2002
UZ,Uzbekistan,0.34545,2001
UZ,Uzbekistan,0.36063,2000
UZ,Uzbekistan,NA,1999
UZ,Uzbekistan,NA,1998
UZ,Uzbekistan,NA,1997
UZ,Uzbekistan,NA,1996
UZ,Uzbekistan,NA,1995
