iso3,country,emp_pop_ratio,year,indicator,indicator.label,source.label
ARM,Armenia,49.599,2003,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,49.551,2004,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,49.826,2005,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,50.244,2006,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,50.721,2007,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,47.122,2008,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,46.38,2009,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,48.225,2010,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,49.414,2011,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,49.907,2012,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,50.925,2013,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,49.906,2014,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,48.873,2015,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,48.334,2016,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,48.188,2017,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,48.389,2018,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
AUT,Austria,56.485,1995,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,55.441,1996,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,55.199,1997,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,55.254,1998,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,55.873,1999,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,55.772,2000,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,55.63,2001,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,55.983,2002,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,55.946,2003,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,53.497,2004,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,54.835,2005,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,55.428,2006,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,56.497,2007,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,57.192,2008,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,56.797,2009,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,57.068,2010,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,57.281,2011,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,57.363,2012,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,57.211,2013,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,56.78,2014,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,56.661,2015,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,56.793,2016,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,57.039,2017,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AUT,Austria,57.344,2018,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AUT - ILO - ILO modelled estimates
AZE,Azerbaijan,59.227,1995,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,58.671,1996,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,57.905,1997,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,57.085,1998,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,56.341,1999,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,55.682,2000,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,56.127,2001,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,56.592,2002,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,56.991,2003,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,57.752,2004,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,58.226,2005,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,58.722,2006,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,58.905,2007,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,59.404,2008,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,59.835,2009,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,60.168,2010,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,60.524,2011,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,60.938,2012,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,61.339,2013,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,61.858,2014,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,62.265,2015,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,62.935,2016,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,63.237,2017,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
AZE,Azerbaijan,62.872,2018,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",AZE - ILO - ILO modelled estimates
BLR,Belarus,48.671,1995,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,44.611,1996,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,48.776,1997,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,50.527,1998,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,51.23,1999,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,52.016,2000,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,52.656,2001,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,53.195,2002,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,53.949,2003,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,54.817,2004,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,55.657,2005,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,56.556,2006,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,57.461,2007,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,58.308,2008,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,58.771,2009,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,59.2,2010,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,59.506,2011,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,59.815,2012,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,60.126,2013,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,60.347,2014,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,60.473,2015,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,60.51,2016,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,60.361,2017,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BLR,Belarus,60.046,2018,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BLR - ILO - ILO modelled estimates
BEL,Belgium,45.692,1995,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,45.55,1996,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,45.897,1997,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,45.962,1998,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,47.361,1999,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,48.762,2000,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,47.588,2001,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,47.421,2002,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,47.133,2003,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,47.95,2004,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,48.683,2005,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,48.633,2006,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,49.578,2007,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,49.861,2008,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,49.162,2009,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,49.493,2010,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,49.283,2011,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,49.131,2012,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,48.986,2013,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,48.986,2014,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,48.912,2015,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,49.064,2016,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,49.595,2017,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BEL,Belgium,49.905,2018,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BEL - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,39.666,1995,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,39.128,1996,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,38.493,1997,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,37.964,1998,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,37.029,1999,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,36.467,2000,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,35.86,2001,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,35.19,2002,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,34.673,2003,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,34.171,2004,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,33.969,2005,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,33.545,2006,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,34.485,2007,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,37.113,2008,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,36.706,2009,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,35.027,2010,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,34.72,2011,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,34.294,2012,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,34.318,2013,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,34.032,2014,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,33.816,2015,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,34.848,2016,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
BIH,Bosnia and Herzegovina,37.309,2017,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",BIH - ILO - ILO modelled estimates
