"Gender pay gap as difference in monthly earnings","Malta",..,..,..,..,..,..,..,..,14.0,..,..,..,15.3,..,..,..,18.4,24.5,23.4,..,..
"Gender pay gap as difference in monthly earnings","Netherlands",..,45.0,42.9,42.2,41.9,41.7,41.4,41.4,44.5,43.9,43.1,42.8,42.6,42.4,41.7,41.0,40.4,39.9,39.1,38.3,..
"Gender pay gap as difference in monthly earnings","North Macedonia",..,..,..,..,..,..,..,..,..,..,..,..,6.7,..,..,..,8.8,..,..,..,..
"Gender pay gap as difference in monthly earnings","Norway",..,..,16.5,16.7,16.1,15.7,15.3,15.3,15.4,15.7,16.1,15.3,15.0,14.7,13.5,14.2,13.6,13.9,14.7,13.9,13.3
"Gender pay gap as difference in monthly earnings","Poland",..,..,..,18.2,16.9,..,16.4,..,17.8,..,18.7,..,15.0,..,16.7,..,17.1,..,15.6,..,..
"Gender pay gap as difference in monthly earnings","Portugal",..,..,..,..,..,..,..,..,12.7,..,..,..,16.9,..,..,..,18.1,..,..,..,..
"Gender pay gap as difference in monthly earnings","Republic of Moldova",..,..,..,..,22.1,29.1,24.5,18.2,13.9,18.0,19.8,18.4,20.4,2.8,3.9,8.9,7.7,13.2,14.5,13.5,..
"Gender pay gap as difference in monthly earnings","Romania",..,..,..,..,..,18.8,16.1,14.1,13.1,10.6,6.3,6.9,11.0,11.9,9.9,7.8,7.4,7.3,6.7,3.7,..
"Gender pay gap as difference in monthly earnings","Russian Federation",..,..,..,..,..,..,..,36.3,..,34.1,..,32.1,..,32.1,..,25.8,..,..,..,..,..
"Gender pay gap as difference in monthly earnings","Serbia",..,..,..,..,..,2.1,4.7,7.3,6.7,3.7,4.8,3.5,7.0,8.9,10.1,11.7,13.1,16.7,17.8,18.0,..
"Gender pay gap as difference in monthly earnings","Slovakia",..,..,25.0,25.9,28.2,27.1,27.6,28.4,26.9,25.8,24.0,25.3,24.6,24.3,24.1,22.5,23.1,22.4,22.0,22.1,..
"Gender pay gap as difference in monthly earnings","Slovenia",..,15.0,12.2,10.8,9.5,7.1,7.0,6.9,6.9,7.8,7.2,2.9,3.7,4.6,5.1,5.4,5.3,5.9,5.9,5.9,..
"Gender pay gap as difference in monthly earnings","Spain",..,..,30.0,..,28.9,..,27.5,27.5,26.3,25.6,21.9,22.0,22.5,23.0,23.9,24.0,23.3,22.9,22.3,..,..
"Gender pay gap as difference in monthly earnings","Sweden",..,15.0,17.6,17.6,17.0,16.5,16.3,16.3,15.9,16.1,16.0,14.6,14.4,14.1,14.0,13.7,13.1,12.3,12.0,11.2,..
"Gender pay gap as difference in monthly earnings","Switzerland",..,..,21.3,..,20.7,..,19.7,..,18.9,..,19.3,..,18.4,..,22.1,..,15.1,..,14.6,..,..
"Gender pay gap as difference in monthly earnings","Tajikistan",..,..,56.8,47.5,33.6,27.2,50.1,48.0,44.6,43.3,38.7,40.3,44.0,50.9,..,..,..,..,..,..,..
"Gender pay gap as difference in monthly earnings","Ukraine",..,33.0,29.1,30.3,30.7,31.4,31.4,29.1,27.2,27.1,24.8,22.8,22.2,25.1,22.4,22.8,23.7,25.1,25.3,21.2,..
"Gender pay gap as difference in monthly earnings","United Kingdom",..,..,25.0,24.4,23.1,22.9,22.5,21.1,20.9,20.8,21.0,19.8,18.3,18.2,17.8,17.5,17.4,17.1,16.8,16.5,..
"Gender pay gap as difference in monthly earnings","United States",46.6,45.1,44.3,42.2,42.5,40.6,41.6,41.4,39.1,37.9,..,..,..,..,..,..,..,..,..,..,..
