country,year,Female,Male,gender_parity_in_life_expectancy_at_birth
Croatia,2001,78.1,70.9,1.1
Croatia,2002,78.3,71,1.1
Croatia,2003,78.1,71,1.1
Croatia,2004,78.8,71.8,1.1
Croatia,2005,78.8,71.7,1.1
Croatia,2006,79.3,72.4,1.1
Croatia,2007,79.2,72.2,1.1
Croatia,2008,79.7,72.3,1.1
Croatia,2009,79.7,72.8,1.1
Croatia,2010,79.9,73.4,1.1
Croatia,2011,80.4,73.8,1.1
Croatia,2012,80.6,73.9,1.1
Croatia,2013,81,74.5,1.1
Croatia,2014,81,74.7,1.1
Croatia,2015,80.5,74.4,1.1
Croatia,2016,81.3,75,1.1
Croatia,2017,81,74.9,1.1
Cyprus,1990,78.6,74.1,1.1
Cyprus,1995,79.6,75.1,1.1
Cyprus,2000,80.1,75.4,1.1
Cyprus,2001,81.4,76.6,1.1
Cyprus,2002,81,76.4,1.1
Cyprus,2003,81.2,76.8,1.1
Cyprus,2004,81.8,76.5,1.1
Cyprus,2005,80.8,76.5,1.1
Cyprus,2006,82,78.1,1
Cyprus,2007,82.1,77.6,1.1
Cyprus,2008,82.9,78.2,1.1
Cyprus,2009,83.5,78.5,1.1
Cyprus,2010,83.9,79.2,1.1
Cyprus,2011,83.1,79.3,1
Cyprus,2012,83.4,78.9,1.1
Cyprus,2013,85,80.1,1.1
Cyprus,2014,84.3,80.3,1
Cyprus,2015,83.7,79.9,1
Cyprus,2016,84.9,80.5,1.1
Cyprus,2017,84.2,80.2,1
Czechia,1990,75.5,67.6,1.1
Czechia,1995,76.8,69.7,1.1
Czechia,2000,78.5,71.6,1.1
Czechia,2001,78.5,72,1.1
Czechia,2002,78.7,72.1,1.1
Czechia,2003,78.6,72,1.1
Czechia,2004,79.1,72.5,1.1
Czechia,2005,79.2,72.9,1.1
Czechia,2006,79.9,73.5,1.1
Czechia,2007,80.2,73.8,1.1
Czechia,2008,80.5,74.1,1.1
Czechia,2009,80.5,74.3,1.1
Czechia,2010,80.9,74.5,1.1
Czechia,2011,81.1,74.8,1.1
Czechia,2012,81.2,75.1,1.1
Czechia,2013,81.3,75.2,1.1
Czechia,2014,82,75.8,1.1
Czechia,2015,81.6,75.7,1.1
Czechia,2016,82.1,76.1,1.1
Czechia,2017,82,76.1,1.1
Denmark,1990,77.8,72,1.1
Denmark,1995,77.9,72.7,1.1
Denmark,2000,79.2,74.5,1.1
Denmark,2001,79.3,74.7,1.1
Denmark,2002,79.4,74.8,1.1
Denmark,2003,79.8,75,1.1
Denmark,2004,80.2,75.4,1.1
Denmark,2005,80.5,76,1.1
Denmark,2006,80.7,76.1,1.1
Denmark,2007,80.6,76.2,1.1
Denmark,2008,81,76.5,1.1
Denmark,2009,81.1,76.9,1.1
Denmark,2010,81.4,77.2,1.1
Denmark,2011,81.9,77.8,1.1
Denmark,2012,82.1,78.1,1.1
Denmark,2013,82.4,78.3,1.1
Denmark,2014,82.8,78.7,1.1
Denmark,2015,82.7,78.8,1
Denmark,2016,82.8,79,1
Denmark,2017,83.1,79.2,1
Estonia,1990,74.9,64.7,1.2
Estonia,1995,74.3,61.4,1.2
Estonia,2000,76.4,65.6,1.2
Estonia,2001,76.5,65.2,1.2
Estonia,2002,77.2,65.6,1.2
Estonia,2003,77.2,66.4,1.2
Estonia,2004,78,66.7,1.2
Estonia,2005,78.2,67.6,1.2
Estonia,2006,78.6,67.6,1.2
Estonia,2007,78.9,67.5,1.2
Estonia,2008,79.5,68.9,1.2
Estonia,2009,80.3,70,1.1
Estonia,2010,80.8,70.9,1.1
Estonia,2011,81.3,71.4,1.1
Estonia,2012,81.5,71.4,1.1
Estonia,2013,81.7,72.8,1.1
Estonia,2014,81.9,72.4,1.1
Estonia,2015,82.2,73.2,1.1
Estonia,2016,82.2,73.3,1.1
Estonia,2017,82.6,73.8,1.1
Finland,1990,79,71,1.1
Finland,1995,80.4,72.8,1.1
Finland,2000,81.2,74.2,1.1
Finland,2001,81.7,74.6,1.1
Finland,2002,81.6,74.9,1.1
Finland,2003,81.9,75.1,1.1
Finland,2004,82.5,75.4,1.1
Finland,2005,82.5,75.6,1.1
Finland,2006,83.1,75.9,1.1
Finland,2007,83.1,76,1.1
Finland,2008,83.3,76.5,1.1
Finland,2009,83.5,76.6,1.1
Finland,2010,83.5,76.9,1.1
Finland,2011,83.8,77.3,1.1
Finland,2012,83.7,77.7,1.1
Finland,2013,84.1,78,1.1
Finland,2014,84.1,78.4,1.1
Finland,2015,84.4,78.7,1.1
Finland,2016,84.4,78.6,1.1
Finland,2017,84.5,78.9,1.1
France,1990,81.8,73.4,1.1
France,1995,82.8,74.6,1.1
France,2000,83,75.3,1.1
France,2001,83,75.5,1.1
France,2002,83,75.7,1.1
France,2003,82.7,75.7,1.1
France,2004,83.8,76.7,1.1
France,2005,83.8,76.7,1.1
France,2006,84.5,77.3,1.1
France,2007,84.8,77.6,1.1
France,2008,84.8,77.8,1.1
France,2009,85,78,1.1
France,2010,85.3,78.2,1.1
France,2011,85.7,78.7,1.1
France,2012,85.4,78.7,1.1
France,2013,85.6,79,1.1
France,2014,86.1,79.5,1.1
France,2015,85.6,79.2,1.1
France,2016,85.7,79.5,1.1
France,2017,85.6,79.6,1.1
Georgia,1990,75,67.5,1.1
Georgia,1995,74,66,1.1
Georgia,2000,73.8,66.2,1.1
Georgia,2001,73.6,66.6,1.1
Georgia,2002,73.5,66.4,1.1
Georgia,2003,73.8,67.2,1.1
Georgia,2004,73.6,66.3,1.1
Georgia,2005,73.7,66,1.1
Georgia,2006,74.8,66,1.1
Georgia,2007,75.1,66.1,1.1
Georgia,2008,74.8,64.9,1.2
Georgia,2009,74.2,65.6,1.1
Georgia,2010,75.8,66.7,1.1
Georgia,2011,76.5,67.8,1.1
Georgia,2012,76.7,67.6,1.1
Georgia,2013,76.9,68.1,1.1
Georgia,2014,77,68.6,1.1
Georgia,2015,77.3,68.7,1.1
Georgia,2016,77.2,68.3,1.1
Georgia,2017,77.8,69.2,1.1
Germany,1990,80.4,74,1.1
Germany,1995,79.9,73.3,1.1
Germany,2000,81.2,75.1,1.1
Germany,2001,81.4,75.6,1.1
Germany,2002,81.3,75.7,1.1
Germany,2003,81.3,75.8,1.1
Germany,2004,81.9,76.5,1.1
Germany,2005,82,76.7,1.1
Germany,2006,82.4,77.2,1.1
Germany,2007,82.7,77.4,1.1
Germany,2008,82.7,77.6,1.1
Germany,2009,82.8,77.8,1.1
Germany,2010,83,78,1.1
Germany,2011,83.1,77.9,1.1
Germany,2012,83.1,78.1,1.1
Germany,2013,83,78.1,1.1
Germany,2014,83.6,78.7,1.1
Germany,2015,83.1,78.3,1.1
Germany,2016,83.5,78.6,1.1
Germany,2017,83.4,78.7,1.1
Greece,1990,79.5,74.7,1.1
Greece,1995,80.4,75.2,1.1
Greece,2000,81.3,75.9,1.1
Greece,2001,81.9,76.3,1.1
Greece,2002,82,76.4,1.1
Greece,2003,82,76.6,1.1
Greece,2004,82.2,76.6,1.1
Greece,2005,82.5,76.8,1.1
Greece,2006,82.7,77.1,1.1
Greece,2007,82.5,76.9,1.1
Greece,2008,83,77.5,1.1
Greece,2009,83.3,77.5,1.1
Greece,2010,83.3,78,1.1
Greece,2011,83.6,78,1.1
Greece,2012,83.4,78,1.1
Greece,2013,84,78.7,1.1
Greece,2014,84.1,78.8,1.1
Greece,2015,83.7,78.5,1.1
Greece,2016,84,78.9,1.1
Greece,2017,83.9,78.8,1.1
Hungary,1990,73.8,65.2,1.1
Hungary,1995,74.8,65.4,1.1
Hungary,2000,76.2,67.5,1.1
Hungary,2001,76.7,68.2,1.1
Hungary,2002,76.7,68.3,1.1
Hungary,2003,76.7,68.4,1.1
Hungary,2004,77.2,68.7,1.1
Hungary,2005,77.2,68.7,1.1
Hungary,2006,77.8,69.2,1.1
Hungary,2007,77.8,69.4,1.1
Hungary,2008,78.3,70,1.1
Hungary,2009,78.4,70.3,1.1
Hungary,2010,78.6,70.7,1.1
Hungary,2011,78.7,71.2,1.1
Hungary,2012,78.7,71.6,1.1
Hungary,2013,79.1,72.2,1.1
Hungary,2014,79.4,72.3,1.1
Hungary,2015,79,72.3,1.1
Hungary,2016,79.7,72.6,1.1
Hungary,2017,79.3,72.5,1.1
Iceland,1990,80.7,75.5,1.1
Iceland,1995,80.1,76,1.1
Iceland,2000,81.6,77.8,1
Iceland,2001,83.2,78.3,1.1
Iceland,2002,82.5,78.6,1
Iceland,2003,82.5,79.5,1
Iceland,2004,83.2,78.9,1.1
Iceland,2005,83.5,79.6,1
Iceland,2006,82.9,79.5,1
Iceland,2007,83.4,79.6,1
Iceland,2008,83.3,80,1
Iceland,2009,83.8,79.8,1.1
Iceland,2010,84.1,79.8,1.1
Iceland,2011,84.1,80.7,1
Iceland,2012,84.3,81.6,1
Iceland,2013,83.7,80.5,1
Iceland,2014,84.5,81.3,1
Iceland,2015,83.8,81.2,1
Iceland,2016,84.1,80.4,1
Iceland,2017,84.3,81.1,1
Ireland,1990,77.7,72.1,1.1
Ireland,1995,78.3,72.8,1.1
Ireland,2000,79.2,74,1.1
Ireland,2001,79.9,74.5,1.1
Ireland,2002,80.4,75,1.1
Ireland,2003,80.7,75.7,1.1
Ireland,2004,81.1,76.1,1.1
Ireland,2005,81.3,76.7,1.1
Ireland,2006,81.7,76.9,1.1
Ireland,2007,82.1,77.3,1.1
Ireland,2008,82.4,77.9,1.1
Ireland,2009,82.7,77.8,1.1
Ireland,2010,83.1,78.5,1.1
Ireland,2011,83,78.6,1.1
Ireland,2012,83.1,78.7,1.1
Ireland,2013,83.1,78.9,1.1
Ireland,2014,83.5,79.3,1.1
Ireland,2015,83.4,79.6,1
Ireland,2016,83.6,79.9,1
Ireland,2017,84,80.4,1
Italy,1990,80.3,73.8,1.1
Italy,1995,81.5,75,1.1
Italy,2000,82.8,76.9,1.1
Italy,2001,83.2,77.2,1.1
Italy,2002,83.2,77.4,1.1
Italy,2003,82.8,77.3,1.1
Italy,2004,83.7,78,1.1
Italy,2005,83.6,78.1,1.1
Italy,2006,84.1,78.6,1.1
Italy,2007,84.2,78.8,1.1
Italy,2008,84.2,78.9,1.1
Italy,2009,84.3,79.1,1.1
Italy,2010,84.7,79.5,1.1
Italy,2011,84.8,79.7,1.1
Italy,2012,84.8,79.8,1.1
Italy,2013,85.2,80.3,1.1
Italy,2014,85.6,80.7,1.1
Italy,2015,84.9,80.3,1.1
Italy,2016,85.6,81,1.1
Italy,2017,85.2,80.8,1.1
Kazakhstan,1990,73.4,63.9,1.1
Kazakhstan,1995,70.4,59.3,1.2
Kazakhstan,2000,71.1,60.1,1.2
Kazakhstan,2001,71.3,60.5,1.2
Kazakhstan,2002,71.5,60.7,1.2
Kazakhstan,2003,71.3,60.5,1.2
Kazakhstan,2004,71.9,60.6,1.2
Kazakhstan,2005,72.2,60.4,1.2
Kazakhstan,2006,72.2,60.7,1.2
Kazakhstan,2007,72.6,60.7,1.2
Kazakhstan,2008,72.4,61.9,1.2
Kazakhstan,2009,73.2,63.6,1.2
Kazakhstan,2010,73.4,63.6,1.2
Kazakhstan,2011,73.6,63.8,1.2
Kazakhstan,2012,74.3,64.7,1.1
Kazakhstan,2013,75.2,65.9,1.1
Kazakhstan,2014,75.8,66.9,1.1
Kazakhstan,2015,76.3,67.5,1.1
Kazakhstan,2016,76.6,68,1.1
Kazakhstan,2017,76.9,68.7,1.1
Kyrgyzstan,1990,72.6,64.2,1.13
Kyrgyzstan,1995,70.4,61.4,1.15
Kyrgyzstan,2000,72.4,64.9,1.12
Kyrgyzstan,2001,72.6,65,1.12
Kyrgyzstan,2002,72.1,64.9,1.11
Kyrgyzstan,2003,72.2,64.5,1.12
Kyrgyzstan,2004,64.3,72.2,0.89
Kyrgyzstan,2005,71.9,64.2,1.12
Kyrgyzstan,2006,72.1,63.5,1.14
Kyrgyzstan,2007,72.2,63.7,1.13
Kyrgyzstan,2008,72.6,64.5,1.13
Kyrgyzstan,2009,73.2,65.2,1.12
Kyrgyzstan,2010,73.5,65.3,1.13
Kyrgyzstan,2011,73.7,65.7,1.12
Kyrgyzstan,2012,74.1,66.1,1.12
Kyrgyzstan,2013,74.3,66.3,1.12
Kyrgyzstan,2014,74.5,66.5,1.12
Kyrgyzstan,2015,74.8,66.7,1.12
Kyrgyzstan,2016,75.1,67,1.12
Kyrgyzstan,2017,75.4,67.2,1.12
Latvia,1990,74.6,64.3,1.2
Latvia,1995,73,60.2,1.2
Latvia,2000,76,64.8,1.2
Latvia,2001,75.5,64.3,1.2
Latvia,2002,75.9,64.5,1.2
Latvia,2003,75.8,65.4,1.2
Latvia,2004,76.1,65.6,1.2
Latvia,2005,76.4,65,1.2
Latvia,2006,76.2,65,1.2
Latvia,2007,76.3,65.3,1.2
Latvia,2008,77.5,66.5,1.2
Latvia,2009,77.7,67.5,1.2
Latvia,2010,78,67.9,1.1
Latvia,2011,78.8,68.6,1.1
Latvia,2012,78.9,68.9,1.1
Latvia,2013,78.9,69.3,1.1
Latvia,2014,79.4,69.1,1.1
Latvia,2015,79.5,69.7,1.1
Latvia,2016,79.6,69.8,1.1
Latvia,2017,79.7,69.8,1.1
Lithuania,1990,76.3,66.4,1.1
Lithuania,1995,75.1,63.3,1.2
Lithuania,2000,77.4,66.7,1.2
Lithuania,2001,77.4,65.9,1.2
Lithuania,2002,77.4,66.1,1.2
Lithuania,2003,77.7,66.4,1.2
Lithuania,2004,77.7,66.2,1.2
Lithuania,2005,77.4,65.2,1.2
Lithuania,2006,77.1,65,1.2
Lithuania,2007,77.2,64.5,1.2
Lithuania,2008,77.6,65.9,1.2
Lithuania,2009,78.7,67.1,1.2
Lithuania,2010,78.9,67.6,1.2
Lithuania,2011,79.3,68.1,1.2
Lithuania,2012,79.6,68.4,1.2
Lithuania,2013,79.6,68.5,1.2
Lithuania,2014,80.1,69.2,1.2
Lithuania,2015,79.7,69.2,1.2
Lithuania,2016,80.1,69.5,1.2
Lithuania,2017,80.5,70.7,1.1
Luxembourg,1990,78.7,72.4,1.1
Luxembourg,1995,80.6,73,1.1
Luxembourg,2000,81.3,74.6,1.1
Luxembourg,2001,80.7,75.1,1.1
Luxembourg,2002,81.5,74.6,1.1
Luxembourg,2003,80.8,74.8,1.1
Luxembourg,2004,82.4,76,1.1
Luxembourg,2005,82.3,76.7,1.1
Luxembourg,2006,81.9,76.8,1.1
Luxembourg,2007,82.2,76.7,1.1
Luxembourg,2008,83.1,78.1,1.1
Luxembourg,2009,83.3,78.1,1.1
Luxembourg,2010,83.5,77.9,1.1
Luxembourg,2011,83.6,78.5,1.1
Luxembourg,2012,83.8,79.1,1.1
Luxembourg,2013,83.9,79.8,1.1
Luxembourg,2014,85.2,79.4,1.1
Luxembourg,2015,84.7,80,1.1
Luxembourg,2016,85.4,80.1,1.1
Luxembourg,2017,84.4,79.9,1.1
Malta,1990,78.4,73.8,1.1
Malta,1995,79.8,74.9,1.1
Malta,2000,80.5,76.3,1.1
Malta,2001,81.2,76.6,1.1
Malta,2002,81.3,76.3,1.1
Malta,2003,80.8,76.4,1.1
Malta,2004,81.2,77.4,1
Malta,2005,81.4,77.3,1.1
Malta,2006,82,77,1.1
Malta,2007,82.2,77.5,1.1
Malta,2008,82.3,77.1,1.1
Malta,2009,82.7,77.9,1.1
Malta,2010,83.6,79.3,1.1
Malta,2011,83,78.6,1.1
Malta,2012,83,78.6,1.1
Malta,2013,84,79.6,1.1
Malta,2014,84.3,79.9,1.1
Malta,2015,84.1,79.8,1.1
Malta,2016,84.4,80.6,1
Malta,2017,84.6,80.2,1.1
Montenegro,1990,78.2,72.8,1.1
Montenegro,1995,76.7,71.4,1.1
Montenegro,2000,76.3,71,1.1
Montenegro,2001,76.4,71.4,1.1
Montenegro,2002,75.7,70.9,1.1
Montenegro,2003,74.9,70.4,1.1
Montenegro,2004,75.2,71,1.1
Montenegro,2005,76.8,71.3,1.1
Montenegro,2006,76.4,71.4,1.1
Montenegro,2007,76.9,71.9,1.1
Montenegro,2008,77.8,72.6,1.1
Montenegro,2009,77.5,72.9,1.1
Montenegro,2010,78.5,73.6,1.1
Montenegro,2011,78.8,73.3,1.1
Montenegro,2012,78.3,74.2,1.1
Montenegro,2013,79,74.1,1.1
Montenegro,2014,78.9,74.1,1.1
Montenegro,2015,78.6,74.4,1.1
Montenegro,2016,78.9,74.1,1.1
Montenegro,2017,79.2,73.9,1.1
Netherlands,1990,80.3,73.9,1.1
Netherlands,1995,80.6,74.7,1.1
Netherlands,2000,80.8,75.7,1.1
Netherlands,2001,80.9,75.9,1.1
Netherlands,2002,80.8,76.1,1.1
Netherlands,2003,81.1,76.4,1.1
Netherlands,2004,81.6,77,1.1
Netherlands,2005,81.8,77.4,1.1
Netherlands,2006,82.1,77.8,1.1
Netherlands,2007,82.6,78.2,1.1
Netherlands,2008,82.5,78.4,1.1
Netherlands,2009,82.9,78.7,1.1
Netherlands,2010,83,78.9,1.1
Netherlands,2011,83.1,79.4,1
Netherlands,2012,83,79.3,1
Netherlands,2013,83.2,79.5,1
Netherlands,2014,83.5,80,1
Netherlands,2015,83.2,79.9,1
Netherlands,2016,83.2,80,1
Netherlands,2017,83.4,80.2,1
North Macedonia,1990,74.5,70.3,1.1
North Macedonia,1995,74,69.8,1.1
North Macedonia,2000,75.2,70.8,1.1
North Macedonia,2001,76.1,70.9,1.1
North Macedonia,2002,75.6,70.6,1.1
North Macedonia,2003,75.7,70.9,1.1
North Macedonia,2004,75.8,71.5,1.1
North Macedonia,2005,75.9,71.6,1.1
North Macedonia,2006,76.2,71.7,1.1
North Macedonia,2007,75.9,71.8,1.1
North Macedonia,2008,76.5,72.4,1.1
North Macedonia,2009,76.7,72.3,1.1
North Macedonia,2010,77.2,72.9,1.1
North Macedonia,2011,77.2,73.1,1.1
North Macedonia,2012,76.9,73,1.1
North Macedonia,2013,77.5,73.4,1.1
North Macedonia,2014,77.5,73.5,1.1
North Macedonia,2015,77.4,73.5,1.1
North Macedonia,2016,77.5,73.4,1.1
North Macedonia,2017,77.9,74.1,1.1
Norway,1990,79.9,73.4,1.1
Norway,1995,80.9,74.8,1.1
Norway,2000,81.5,76,1.1
Norway,2001,81.6,76.2,1.1
Norway,2002,81.6,76.4,1.1
Norway,2003,82.1,77.1,1.1
Norway,2004,82.5,77.6,1.1
Norway,2005,82.7,77.8,1.1
Norway,2006,82.9,78.2,1.1
Norway,2007,82.9,78.3,1.1
Norway,2008,83.2,78.4,1.1
Norway,2009,83.2,78.7,1.1
Norway,2010,83.3,79,1.1
Norway,2011,83.6,79.1,1.1
Norway,2012,83.5,79.5,1.1
Norway,2013,83.8,79.8,1.1
Norway,2014,84.2,80.1,1.1
Norway,2015,84.2,80.5,1
Norway,2016,84.2,80.7,1
Norway,2017,84.3,81,1
Poland,1990,75.6,66.6,1.1
Poland,1995,76.4,67.7,1.1
Poland,2000,78.1,69.6,1.1
Poland,2001,78.5,70,1.1
Poland,2002,78.9,70.4,1.1
Poland,2003,78.9,70.5,1.1
Poland,2004,79.3,70.7,1.1
Poland,2005,79.4,70.8,1.1
Poland,2006,79.7,71,1.1
Poland,2007,79.9,71,1.1
Poland,2008,80,71.3,1.1
Poland,2009,80.1,71.5,1.1
Poland,2010,80.7,72.2,1.1
Poland,2011,81.1,72.5,1.1
Poland,2012,81.1,72.6,1.1
Poland,2013,81.2,73,1.1
Poland,2014,81.7,73.7,1.1
Poland,2015,81.6,73.5,1.1
Poland,2016,82,73.9,1.1
Poland,2017,81.8,73.9,1.1
Portugal,1990,77.5,70.6,1.1
Portugal,1995,79,71.7,1.1
Portugal,2000,80.4,73.3,1.1
Portugal,2001,80.7,73.6,1.1
Portugal,2002,80.8,73.9,1.1
Portugal,2003,80.8,74.2,1.1
Portugal,2004,81.8,75,1.1
Portugal,2005,81.5,74.9,1.1
Portugal,2006,82.5,75.5,1.1
Portugal,2007,82.5,75.9,1.1
Portugal,2008,82.7,76.2,1.1
Portugal,2009,82.8,76.5,1.1
Portugal,2010,83.2,76.8,1.1
Portugal,2011,83.8,77.3,1.1
Portugal,2012,83.6,77.3,1.1
Portugal,2013,84,77.6,1.1
Portugal,2014,84.4,78,1.1
Portugal,2015,84.3,78.1,1.1
Portugal,2016,84.3,78.1,1.1
Portugal,2017,84.6,78.4,1.1
Republic of Moldova,1990,71.8,65,1.1
Republic of Moldova,1995,69.7,61.8,1.1
Republic of Moldova,2000,71.2,63.9,1.1
Republic of Moldova,2001,71.8,64.5,1.1
Republic of Moldova,2002,71.7,64.4,1.1
Republic of Moldova,2003,71.6,64.5,1.1
Republic of Moldova,2004,72.2,64.5,1.1
Republic of Moldova,2005,71.7,63.8,1.1
Republic of Moldova,2006,72.2,64.6,1.1
Republic of Moldova,2007,72.6,65,1.1
Republic of Moldova,2008,73.2,65.6,1.1
Republic of Moldova,2009,73.4,65.3,1.1
Republic of Moldova,2010,73.4,65,1.1
Republic of Moldova,2011,74.9,66.8,1.1
