country,year,"expenditures, total(%)"
Luxembourg,2005,1.109
Hungary,2005,0.703
Malta,2005,NA
Netherlands,2005,2.919
Austria,2005,2.061
Poland,2005,1.273
Portugal,2005,1.862
Romania,2005,0.537
Slovenia,2005,0.687
Slovakia,2005,0.591
Finland,2005,2.651
Sweden,2005,2.281
United Kingdom,2005,0.565
Norway,2005,1.221
European Union (28 countries),2006,1.791
European Union (15 countries),2006,1.867
Belgium,2006,2.769
Bulgaria,2006,0.584
Czech Republic,2006,0.451
Denmark,2006,3.121
Germany (until 1990 former territory of the FRG),2006,2.563
Estonia,2006,0.15
Ireland,2006,1.458
Greece,2006,0.52
Spain,2006,2.114
France,2006,2.703
Croatia,2006,NA
Italy,2006,1.081
Cyprus,2006,0.671
Latvia,2006,0.507
Lithuania,2006,0.387
Luxembourg,2006,1.025
Hungary,2006,0.686
Malta,2006,0.526
Netherlands,2006,2.522
Austria,2006,2.031
Poland,2006,1.153
Portugal,2006,1.696
Romania,2006,0.416
Slovenia,2006,0.647
Slovakia,2006,0.64
Finland,2006,2.466
Sweden,2006,2.135
United Kingdom,2006,0.466
Norway,2006,0.861
European Union (28 countries),2007,1.577
European Union (15 countries),2007,1.651
Belgium,2007,2.599
Bulgaria,2007,0.456
Czech Republic,2007,0.426
Denmark,2007,2.594
Germany (until 1990 former territory of the FRG),2007,2.034
Estonia,2007,0.147
Ireland,2007,1.55
Greece,2007,0.491
Spain,2007,2.122
France,2007,2.506
Croatia,2007,NA
Italy,2007,0.985
Cyprus,2007,0.535
Latvia,2007,0.427
Lithuania,2007,0.408
Luxembourg,2007,0.939
Hungary,2007,0.694
Malta,2007,0.477
Netherlands,2007,2.136
Austria,2007,1.84
Poland,2007,1.004
Portugal,2007,1.57
Romania,2007,0.33
Slovenia,2007,0.491
Slovakia,2007,0.572
Finland,2007,2.174
Sweden,2007,1.626
United Kingdom,2007,0.443
Norway,2007,0.745
European Union (28 countries),2008,1.586
European Union (15 countries),2008,1.675
Belgium,2008,2.641
Bulgaria,2008,0.433
Czech Republic,2008,0.4
Denmark,2008,2.386
Germany (until 1990 former territory of the FRG),2008,1.885
Estonia,2008,0.275
Ireland,2008,2.014
Greece,2008,0.606
Spain,2008,2.53
France,2008,2.336
Croatia,2008,NA
Italy,2008,1.099
Cyprus,2008,0.502
Latvia,2008,0.453
Lithuania,2008,0.389
Luxembourg,2008,0.938
Hungary,2008,0.704
Malta,2008,0.474
Netherlands,2008,1.984
Austria,2008,1.765
Poland,2008,0.897
Portugal,2008,1.586
Romania,2008,0.256
Slovenia,2008,0.44
Slovakia,2008,0.677
Finland,2008,2.038
Sweden,2008,1.333
United Kingdom,2008,0.503
Norway,2008,0.665
European Union (28 countries),2009,2.127
European Union (15 countries),2009,2.238
Belgium,2009,3.05
Bulgaria,2009,0.61
Czech Republic,2009,0.678
Denmark,2009,3.138
Germany (until 1990 former territory of the FRG),2009,2.449
Estonia,2009,1.583
Ireland,2009,3.259
Greece,2009,0.9
Spain,2009,3.675
France,2009,2.839
Croatia,2009,NA
Italy,2009,1.623
Cyprus,2009,0.798
Latvia,2009,1.328
Lithuania,2009,0.899
Luxembourg,2009,1.327
Hungary,2009,1.134
Malta,2009,0.491
Netherlands,2009,2.484
Austria,2009,2.237
Poland,2009,0.941
Portugal,2009,2.091
Romania,2009,0.431
Slovenia,2009,0.981
Slovakia,2009,0.908
Finland,2009,2.621
Sweden,2009,1.734
United Kingdom,2009,0.711
Norway,2009,0.991
European Union (28 countries),2010,2.12
European Union (15 countries),2010,2.227
Belgium,2010,2.923
Bulgaria,2010,0.55
Czech Republic,2010,0.667
Denmark,2010,3.621
Germany (until 1990 former territory of the FRG),2010,2.176
Estonia,2010,1.071
Ireland,2010,3.626
Greece,2010,0.945
Spain,2010,3.882
France,2010,2.989
Croatia,2010,NA
Italy,2010,1.657
Cyprus,2010,0.908
Latvia,2010,1.259
Lithuania,2010,0.775
Luxembourg,2010,1.261
Hungary,2010,1.335
Malta,2010,0.495
Netherlands,2010,2.554
Austria,2010,2.176
Poland,2010,1.015
Portugal,2010,2.084
Romania,2010,0.596
Slovenia,2010,1.192
Slovakia,2010,0.913
Finland,2010,2.667
Sweden,2010,1.825
United Kingdom,2010,0.674
Norway,2010,1.094
European Union (28 countries),2011,1.899
European Union (15 countries),2011,2.005
Belgium,2011,2.758
Bulgaria,2011,0.553
Czech Republic,2011,0.527
Denmark,2011,3.489
Germany (until 1990 former territory of the FRG),2011,1.759
Estonia,2011,0.7
Ireland,2011,3.313
Greece,2011,NA
Spain,2011,3.687
France,2011,2.738
Croatia,2011,NA
Italy,2011,1.574
Cyprus,2011,1.18
Latvia,2011,0.694
Lithuania,2011,0.55
Luxembourg,2011,1.175
Hungary,2011,1.133
Malta,2011,0.504
Netherlands,2011,2.384
Austria,2011,1.971
Poland,2011,0.704
Portugal,2011,1.931
Romania,2011,0.361
Slovenia,2011,1.26
Slovakia,2011,0.774
Finland,2011,2.354
Sweden,2011,1.726
United Kingdom,2011,NA
Norway,2011,0.964
European Union (28 countries),2012,1.826
European Union (15 countries),2012,1.926
Belgium,2012,2.76
Bulgaria,2012,0.657
Czech Republic,2012,0.474
Denmark,2012,3.462
Germany (until 1990 former territory of the FRG),2012,1.616
Estonia,2012,0.707
Ireland,2012,3.219
Greece,2012,0.933
Spain,2012,3.775
France,2012,2.799
Croatia,2012,0.641
Italy,2012,1.866
Cyprus,2012,1.33
Latvia,2012,0.497
Lithuania,2012,0.471
Luxembourg,2012,1.318
Hungary,2012,1.164
Malta,2012,0.529
Netherlands,2012,2.493
Austria,2012,1.968
Poland,2012,0.752
Portugal,2012,2.165
Romania,2012,0.282
Slovenia,2012,1.123
Slovakia,2012,0.679
Finland,2012,2.351
Sweden,2012,1.874
United Kingdom,2012,NA
Norway,2012,0.869
European Union (28 countries),2013,NA
European Union (15 countries),2013,NA
Belgium,2013,2.805
Bulgaria,2013,0.805
Czech Republic,2013,0.54
Denmark,2013,3.439
Germany (until 1990 former territory of the FRG),2013,1.64
Estonia,2013,0.668
Ireland,2013,2.947
Greece,2013,0.85
Spain,2013,3.507
France,2013,2.909
Croatia,2013,0.704
Italy,2013,1.889
Cyprus,2013,1.503
Latvia,2013,0.552
Lithuania,2013,0.462
Luxembourg,2013,1.393
Hungary,2013,1.209
Malta,2013,0.488
Netherlands,2013,2.772
Austria,2013,2.154
Poland,2013,0.836
Portugal,2013,2.211
Romania,2013,0.251
Slovenia,2013,1.199
Slovakia,2013,0.621
Finland,2013,2.576
Sweden,2013,1.991
United Kingdom,2013,NA
Norway,2013,0.833
European Union (28 countries),2014,NA
European Union (15 countries),2014,NA
Belgium,2014,2.684
Bulgaria,2014,0.635
Czech Republic,2014,0.587
Denmark,2014,3.313
Germany (until 1990 former territory of the FRG),2014,1.585
Estonia,2014,0.586
Ireland,2014,2.535
Greece,2014,0.815
Spain,2014,3.093
France,2014,2.996
Croatia,2014,0.613
Italy,2014,1.859
Cyprus,2014,1.056
Latvia,2014,0.549
Lithuania,2014,0.427
Luxembourg,2014,1.288
Hungary,2014,1.219
Malta,2014,0.479
Netherlands,2014,2.804
Austria,2014,2.184
Poland,2014,0.789
Portugal,2014,2.107
Romania,2014,0.224
Slovenia,2014,0.993
Slovakia,2014,0.548
Finland,2014,2.837
Sweden,2014,1.905
United Kingdom,2014,NA
Norway,2014,0.884
European Union (28 countries),2015,NA
European Union (15 countries),2015,NA
Belgium,2015,2.432
Bulgaria,2015,0.565
Czech Republic,2015,0.612
Denmark,2015,3.213
Germany (until 1990 former territory of the FRG),2015,1.507
Estonia,2015,0.642
Ireland,2015,1.747
Greece,2015,0.698
Spain,2015,2.572
France,2015,2.961
Croatia,2015,0.754
Italy,2015,1.743
Cyprus,2015,0.949
Latvia,2015,0.557
Lithuania,2015,0.532
Luxembourg,2015,1.254
Hungary,2015,1.134
Malta,2015,0.45
Netherlands,2015,2.568
Austria,2015,2.206
Poland,2015,0.737
Portugal,2015,1.891
Romania,2015,0.184
Slovenia,2015,0.757
Slovakia,2015,0.532
Finland,2015,2.896
Sweden,2015,1.777
United Kingdom,2015,NA
Norway,2015,0.975
European Union (28 countries),2016,NA
European Union (15 countries),2016,NA
Belgium,2016,2.307
Bulgaria,2016,0.574
Czech Republic,2016,0.537
Denmark,2016,3.091
Germany (until 1990 former territory of the FRG),2016,1.441
Estonia,2016,0.774
Ireland,2016,1.484
Greece,2016,0.709
Spain,2016,2.305
France,2016,2.982
Croatia,2016,0.678
Italy,2016,NA
Cyprus,2016,0.703
Latvia,2016,0.642
Lithuania,2016,0.518
Luxembourg,2016,1.345
Hungary,2016,1.168
Malta,2016,0.427
Netherlands,2016,2.381
Austria,2016,2.275
Poland,2016,0.688
Portugal,2016,1.665
Romania,2016,0.128
Slovenia,2016,0.73
Slovakia,2016,0.6
Finland,2016,2.78
Sweden,2016,1.683
United Kingdom,2016,NA
Norway,2016,1.063
