iso3,country,employment_in_agriculture,year,indicator,indicator.label,note_source.label
AZE,Azerbaijan,36.26,2018,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
BEL,Belgium,2.68,1995,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,2.75,1996,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,2.66,1997,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,2.24,1998,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,2.39,1999,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.91,2000,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.38,2001,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.79,2002,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.72,2003,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,2.22,2004,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,2.04,2005,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.95,2006,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.86,2007,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.55,2008,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.49,2009,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.35,2010,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.3,2011,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.17,2012,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.36,2013,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.22,2014,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.18,2015,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.25,2016,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.16,2017,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,0.99,2018,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,23.85,1995,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Population coverage: Excluding armed forces and/or conscripts
BGR,Bulgaria,24.36,1996,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
BGR,Bulgaria,25.35,1997,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Population coverage: Excluding armed forces and/or conscripts
BGR,Bulgaria,26.18,1998,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Population coverage: Excluding armed forces and/or conscripts
BGR,Bulgaria,25.77,1999,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Population coverage: Excluding armed forces and/or conscripts
BGR,Bulgaria,13.13,2000,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,9.68,2001,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,10.69,2002,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,11.13,2003,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,10.72,2004,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,8.93,2005,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,8.11,2006,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,7.54,2007,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,7.47,2008,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,7.09,2009,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,6.81,2010,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,6.78,2011,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,6.44,2012,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,6.66,2013,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,7.01,2014,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,6.86,2015,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,6.75,2016,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,7.01,2017,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,6.58,2018,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
BIH,Bosnia and Herzegovina,20.54,2006,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,19.82,2007,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,20.58,2008,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,21.22,2009,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,19.69,2010,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,19.61,2011,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,20.56,2012,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,17.08,2014,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,17.96,2016,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,15.72,2018,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
BLR,Belarus,9.7,2015,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Age coverage - minimum age: 16 years old
BLR,Belarus,9.72,2016,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Age coverage - maximum age: 74 years old
BLR,Belarus,10.69,2017,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Age coverage - maximum age: 74 years old
BLR,Belarus,11.31,2018,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents
CYP,Cyprus,10.7,1995,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Population coverage: Excluding armed forces and/or conscripts
CYP,Cyprus,5.4,2000,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,4.84,2001,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,5.25,2002,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,5.19,2003,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,5.1,2004,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,4.74,2005,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,4.26,2006,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,4.38,2007,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,4.23,2008,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,3.93,2009,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,3.8,2010,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,3.83,2011,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,2.91,2012,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,3.11,2013,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,4.43,2014,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,4,2015,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,3.64,2016,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,2.53,2017,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CYP,Cyprus,2.17,2018,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,6.63,1995,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: OECD
CZE,Czech Republic,6.21,1996,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: OECD
CZE,Czech Republic,5.79,1997,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,5.55,1998,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,5.31,1999,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,5.21,2000,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,4.87,2001,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,4.89,2002,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,4.51,2003,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,4.45,2004,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,3.98,2005,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,3.76,2006,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,3.58,2007,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,3.17,2008,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,3.12,2009,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,3.1,2010,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,2.99,2011,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,3.05,2012,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,3.03,2013,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,2.75,2014,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,2.93,2015,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,2.9,2016,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,2.8,2017,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
CZE,Czech Republic,2.8,2018,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,3.17,1995,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,2.94,1996,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,2.94,1997,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,2.78,1998,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,2.87,1999,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,2.64,2000,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,2.62,2001,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,2.49,2002,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,2.42,2003,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,2.36,2004,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,2.37,2005,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,2.27,2006,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,2.26,2007,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,1.78,2008,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,1.68,2009,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,1.65,2010,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,1.64,2011,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,1.56,2012,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,1.45,2013,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,1.43,2014,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,1.39,2015,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,1.31,2016,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,1.28,2017,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DEU,Germany,1.25,2018,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,4.39,1995,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,3.87,1996,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,3.72,1997,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,3.7,1998,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,3.31,1999,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,3.66,2000,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,3.54,2001,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,3.21,2002,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,3.29,2003,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,3.26,2004,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,3.18,2005,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,3.08,2006,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,2.96,2007,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
DNK,Denmark,2.55,2008,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
